scene,model,consensus_inl
r00_B,ours_nocritic,1445
r00_BL,ours_nocritic,1238
r00_BR,ours_nocritic,860
r00_F,ours_nocritic,910
r00_FL,ours_nocritic,691
r00_FR,ours_nocritic,729
r00_L,ours_nocritic,1644
r00_R,ours_nocritic,733
r01_B,ours_nocritic,1287
r01_BL,ours_nocritic,1333
r01_BR,ours_nocritic,1244
r01_F,ours_nocritic,1013
r01_FL,ours_nocritic,1048
r01_FR,ours_nocritic,1008
r01_L,ours_nocritic,1378
r01_R,ours_nocritic,868
r02_B,ours_nocritic,1458
r02_BL,ours_nocritic,1461
r02_BR,ours_nocritic,1430
r02_F,ours_nocritic,1469
r02_FL,ours_nocritic,1242
r02_FR,ours_nocritic,1423
r02_L,ours_nocritic,1466
r02_R,ours_nocritic,1458
r03_B,ours_nocritic,2068
r03_BL,ours_nocritic,1361
r03_BR,ours_nocritic,15
r03_F,ours_nocritic,2070
r03_FL,ours_nocritic,1727
r03_FR,ours_nocritic,939
r03_L,ours_nocritic,2086
r03_R,ours_nocritic,2068
r04_B,ours_nocritic,656
r04_BL,ours_nocritic,1369
r04_BR,ours_nocritic,1359
r04_F,ours_nocritic,789
r04_FL,ours_nocritic,522
r04_FR,ours_nocritic,736
r04_L,ours_nocritic,1256
r04_R,ours_nocritic,1396
r05_B,ours_nocritic,514
r05_BL,ours_nocritic,559
r05_BR,ours_nocritic,396
r05_F,ours_nocritic,448
r05_FL,ours_nocritic,478
r05_FR,ours_nocritic,332
r05_L,ours_nocritic,488
r05_R,ours_nocritic,390
r06_B,ours_nocritic,1394
r06_BL,ours_nocritic,1299
r06_BR,ours_nocritic,1174
r06_F,ours_nocritic,1302
r06_FL,ours_nocritic,1393
r06_FR,ours_nocritic,1229
r06_L,ours_nocritic,1413
r06_R,ours_nocritic,1398
r07_B,ours_nocritic,860
r07_BL,ours_nocritic,659
r07_BR,ours_nocritic,131
r07_F,ours_nocritic,770
r07_FL,ours_nocritic,892
r07_FR,ours_nocritic,545
r07_L,ours_nocritic,850
r07_R,ours_nocritic,287
r08_B,ours_nocritic,879
r08_BL,ours_nocritic,807
r08_BR,ours_nocritic,749
r08_F,ours_nocritic,742
r08_FL,ours_nocritic,759
r08_FR,ours_nocritic,689
r08_L,ours_nocritic,1061
r08_R,ours_nocritic,829
r09_B,ours_nocritic,1237
r09_BL,ours_nocritic,928
r09_BR,ours_nocritic,728
r09_F,ours_nocritic,982
r09_FL,ours_nocritic,918
r09_FR,ours_nocritic,746
r09_L,ours_nocritic,1102
r09_R,ours_nocritic,1428
r10_B,ours_nocritic,2081
r10_BL,ours_nocritic,1060
r10_BR,ours_nocritic,728
r10_F,ours_nocritic,2112
r10_FL,ours_nocritic,1368
r10_FR,ours_nocritic,784
r10_L,ours_nocritic,1595
r10_R,ours_nocritic,2104
r11_B,ours_nocritic,222
r11_BL,ours_nocritic,219
r11_BR,ours_nocritic,178
r11_F,ours_nocritic,232
r11_FL,ours_nocritic,214
r11_FR,ours_nocritic,180
r11_L,ours_nocritic,216
r11_R,ours_nocritic,176
r12_B,ours_nocritic,73
r12_BL,ours_nocritic,139
r12_BR,ours_nocritic,39
r12_F,ours_nocritic,135
r12_FL,ours_nocritic,102
r12_FR,ours_nocritic,54
r12_L,ours_nocritic,107
r12_R,ours_nocritic,57
r13_B,ours_nocritic,1020
r13_BL,ours_nocritic,889
r13_BR,ours_nocritic,1375
r13_F,ours_nocritic,1002
r13_FL,ours_nocritic,686
r13_FR,ours_nocritic,1135
r13_L,ours_nocritic,1145
r13_R,ours_nocritic,907
r14_B,ours_nocritic,442
r14_BL,ours_nocritic,414
r14_BR,ours_nocritic,724
r14_F,ours_nocritic,780
r14_FL,ours_nocritic,462
r14_FR,ours_nocritic,411
r14_L,ours_nocritic,530
r14_R,ours_nocritic,387
r15_B,ours_nocritic,522
r15_BL,ours_nocritic,753
r15_BR,ours_nocritic,262
r15_F,ours_nocritic,403
r15_FL,ours_nocritic,374
r15_FR,ours_nocritic,318
r15_L,ours_nocritic,707
r15_R,ours_nocritic,264
r16_B,ours_nocritic,1170
r16_BL,ours_nocritic,1282
r16_BR,ours_nocritic,1323
r16_F,ours_nocritic,1096
r16_FL,ours_nocritic,1220
r16_FR,ours_nocritic,1103
r16_L,ours_nocritic,1445
r16_R,ours_nocritic,1333
r17_B,ours_nocritic,1415
r17_BL,ours_nocritic,1728
r17_BR,ours_nocritic,518
r17_F,ours_nocritic,704
r17_FL,ours_nocritic,1105
r17_FR,ours_nocritic,706
r17_L,ours_nocritic,912
r17_R,ours_nocritic,573
r18_B,ours_nocritic,1586
r18_BL,ours_nocritic,1590
r18_BR,ours_nocritic,1436
r18_F,ours_nocritic,1568
r18_FL,ours_nocritic,1575
r18_FR,ours_nocritic,1422
r18_L,ours_nocritic,1576
r18_R,ours_nocritic,1406
r19_B,ours_nocritic,1219
r19_BL,ours_nocritic,1082
r19_BR,ours_nocritic,800
r19_F,ours_nocritic,1005
r19_FL,ours_nocritic,993
r19_FR,ours_nocritic,658
r19_L,ours_nocritic,1193
r19_R,ours_nocritic,1430
r20_B,ours_nocritic,1764
r20_BL,ours_nocritic,1765
r20_BR,ours_nocritic,1793
r20_F,ours_nocritic,1817
r20_FL,ours_nocritic,1721
r20_FR,ours_nocritic,1731
r20_L,ours_nocritic,1812
r20_R,ours_nocritic,1837
r21_B,ours_nocritic,15
r21_BL,ours_nocritic,12
r21_BR,ours_nocritic,24
r21_F,ours_nocritic,30
r21_FL,ours_nocritic,32
r21_FR,ours_nocritic,29
r21_L,ours_nocritic,34
r21_R,ours_nocritic,27
r22_B,ours_nocritic,1948
r22_BL,ours_nocritic,1727
r22_BR,ours_nocritic,1345
r22_F,ours_nocritic,1685
r22_FL,ours_nocritic,1629
r22_FR,ours_nocritic,1558
r22_L,ours_nocritic,2061
r22_R,ours_nocritic,1984
r23_B,ours_nocritic,907
r23_BL,ours_nocritic,889
r23_BR,ours_nocritic,416
r23_F,ours_nocritic,1008
r23_FL,ours_nocritic,910
r23_FR,ours_nocritic,553
r23_L,ours_nocritic,1697
r23_R,ours_nocritic,649
r24_B,ours_nocritic,2133
r24_BL,ours_nocritic,2141
r24_BR,ours_nocritic,772
r24_F,ours_nocritic,2133
r24_FL,ours_nocritic,2110
r24_FR,ours_nocritic,2115
r24_L,ours_nocritic,2122
r24_R,ours_nocritic,2137
r25_B,ours_nocritic,769
r25_BL,ours_nocritic,792
r25_BR,ours_nocritic,854
r25_F,ours_nocritic,833
r25_FL,ours_nocritic,710
r25_FR,ours_nocritic,778
r25_L,ours_nocritic,835
r25_R,ours_nocritic,849
r26_B,ours_nocritic,176
r26_BL,ours_nocritic,246
r26_BR,ours_nocritic,151
r26_F,ours_nocritic,134
r26_FL,ours_nocritic,79
r26_FR,ours_nocritic,114
r26_L,ours_nocritic,183
r26_R,ours_nocritic,133
r27_B,ours_nocritic,587
r27_BL,ours_nocritic,504
r27_BR,ours_nocritic,454
r27_F,ours_nocritic,561
r27_FL,ours_nocritic,394
r27_FR,ours_nocritic,464
r27_L,ours_nocritic,827
r27_R,ours_nocritic,461
r28_B,ours_nocritic,1815
r28_BL,ours_nocritic,1842
r28_BR,ours_nocritic,1907
r28_F,ours_nocritic,1818
r28_FL,ours_nocritic,1723
r28_FR,ours_nocritic,1829
r28_L,ours_nocritic,1799
r28_R,ours_nocritic,1864
r29_B,ours_nocritic,1235
r29_BL,ours_nocritic,1136
r29_BR,ours_nocritic,445
r29_F,ours_nocritic,599
r29_FL,ours_nocritic,482
r29_FR,ours_nocritic,452
r29_L,ours_nocritic,1153
r29_R,ours_nocritic,1003
r30_B,ours_nocritic,667
r30_BL,ours_nocritic,804
r30_BR,ours_nocritic,558
r30_F,ours_nocritic,784
r30_FL,ours_nocritic,796
r30_FR,ours_nocritic,476
r30_L,ours_nocritic,791
r30_R,ours_nocritic,124
r31_B,ours_nocritic,713
r31_BL,ours_nocritic,605
r31_BR,ours_nocritic,442
r31_F,ours_nocritic,515
r31_FL,ours_nocritic,541
r31_FR,ours_nocritic,502
r31_L,ours_nocritic,603
r31_R,ours_nocritic,455
