model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
nocritic,0,F,-8.1,-0.85,-54.2,0.1437,0.0653,-0.0993,0.0634,-0.0739,-0.072,0.0988,0.1032
nocritic,0,FR,8.61,2.56,-141.9,-0.0142,0.3182,0.0799,0.0964,-0.0193,-0.0425,-0.022,0.0551
nocritic,0,R,13.68,2.01,-125.4,-0.0304,0.3146,0.1115,0.0861,-0.0307,-0.0271,0.0065,0.0405
nocritic,0,BR,7.69,3.63,-112.0,0.0501,0.2725,0.0136,0.0831,-0.0534,-0.0856,-0.0805,0.0442
nocritic,0,B,-1.16,0.05,-1.4,-0.0113,-0.0083,0.0001,-0.0024,-0.008,-0.0008,-0.0021,0.0094
nocritic,0,BL,-2.36,-0.04,-8.6,0.0145,-0.0073,-0.008,0.0118,-0.0399,-0.0216,-0.0125,0.0066
nocritic,0,L,-0.08,-0.04,0.7,-0.0223,-0.0057,-0.0002,-0.0094,-0.001,0.003,0.0025,0.0013
nocritic,0,FL,-10.51,2.98,4.8,0.1234,-0.0739,-0.0118,0.0554,-0.1115,-0.107,0.002,0.0251
nocritic,1,F,-21.2,-0.86,-64.4,0.107,-0.0272,-0.0125,0.0641,0.0772,-0.0348,-0.0705,0.0971
nocritic,1,FR,-21.61,-0.55,-61.2,0.108,-0.0369,-0.0204,0.0621,0.0928,-0.0444,-0.0796,0.0821
nocritic,1,R,-9.56,0.86,-189.4,0.0071,0.2721,0.1026,0.1237,-0.0149,-0.0261,-0.0032,0.0526
nocritic,1,BR,-13.31,-0.71,-42.9,0.0514,-0.0079,-0.0128,0.0232,0.0502,-0.0058,-0.0495,0.0429
nocritic,1,B,-13.97,-0.84,-43.8,0.0513,-0.0182,-0.0049,0.0283,0.0549,-0.0229,-0.0436,0.0512
nocritic,1,BL,-13.14,-1.05,-41.2,0.0535,-0.0146,-0.0046,0.0195,0.0502,-0.0086,-0.0451,0.0589
nocritic,1,L,-12.96,-1.06,-40.2,0.0501,-0.0174,-0.0061,0.0211,0.0389,-0.0035,-0.049,0.067
nocritic,1,FL,-23.08,-1.85,-62.3,0.1476,-0.0676,-0.0121,0.0935,0.085,-0.0684,-0.0875,0.0879
nocritic,2,F,0.37,-0.05,11.0,-0.0227,-0.0074,0.0077,-0.0117,-0.0063,0.0108,0.0094,0.0096
nocritic,2,FR,0.44,0.1,10.9,-0.023,-0.0076,0.0074,-0.012,-0.01,0.0131,0.01,0.0069
nocritic,2,R,1.09,-0.23,3.3,-0.0233,0.0043,0.0097,-0.0113,-0.0082,0.0097,0.0087,0.0058
nocritic,2,BR,1.1,-0.19,3.6,-0.0239,0.0035,0.0139,-0.0114,-0.0103,0.0165,0.0099,0.0153
nocritic,2,B,0.89,0.07,12.8,-0.0231,-0.0074,0.0083,-0.012,-0.0076,0.0117,0.0089,0.0096
nocritic,2,BL,0.72,0.12,12.6,-0.0229,-0.0082,0.0078,-0.0116,-0.0064,0.0077,0.0087,0.0068
nocritic,2,L,0.69,0.2,13.6,-0.0232,-0.0079,0.0077,-0.0114,-0.0065,0.0088,0.0112,0.0069
nocritic,2,FL,0.49,-0.05,13.5,-0.0217,-0.0104,0.0093,-0.0083,-0.0066,0.0226,0.0128,0.0163
nocritic,3,F,-0.08,0.05,-0.2,-0.0221,-0.003,0.0059,-0.002,-0.0034,0.0047,-0.0064,0.0086
nocritic,3,FR,-9.1,1.69,-40.5,-0.0082,0.0348,-0.0138,0.0433,0.0371,-0.065,0.004,-0.0065
nocritic,3,R,-0.09,0.05,-0.3,-0.0224,-0.0031,0.0054,-0.0026,-0.0018,0.0031,-0.0057,0.0068
nocritic,3,BR,-114.03,-32.99,-576.6,-0.0134,0.2196,-0.0464,0.1702,0.109,-0.1279,0.1295,-0.0465
nocritic,3,B,-0.09,0.06,-0.2,-0.0222,-0.0029,0.0056,-0.0023,-0.0024,0.0035,-0.0062,0.0071
nocritic,3,BL,0.11,0.83,6.0,-0.0271,-0.0071,0.0012,0.0035,-0.0002,-0.0082,-0.0276,-0.0217
nocritic,3,L,-0.1,0.06,-0.2,-0.0224,-0.0026,0.0062,-0.003,-0.003,0.004,-0.0056,0.0076
nocritic,3,FL,-0.1,0.18,2.1,-0.0223,-0.0045,0.006,-0.0056,-0.0058,0.0051,-0.0027,0.0067
nocritic,4,F,-6.28,4.13,-22.6,0.0297,0.0017,-0.0574,0.0287,-0.0621,0.0618,0.0173,0.1136
nocritic,4,FR,-8.89,0.16,-50.7,0.0469,0.0132,-0.1221,0.0075,-0.0534,0.0299,0.0539,0.1064
nocritic,4,R,-2.61,-0.25,-12.5,-0.0227,-0.0202,-0.0082,0.0079,-0.0165,0.0441,0.0893,0.0377
nocritic,4,BR,-3.65,-0.06,-17.5,-0.02,-0.0186,-0.0237,0.0205,-0.0179,0.0362,0.0792,0.007
nocritic,4,B,-6.16,-0.25,-37.4,0.0558,0.0152,-0.0941,-0.0071,-0.0603,0.0459,0.0467,0.1273
nocritic,4,BL,-3.39,-0.07,-14.1,-0.0174,-0.0189,-0.0219,0.012,-0.0155,0.0284,0.0683,0.0078
nocritic,4,L,-3.54,-0.46,-15.7,-0.016,-0.0246,-0.0137,0.0086,-0.0249,0.0452,0.0922,0.0571
nocritic,4,FL,-13.57,-0.68,-61.6,0.0714,0.0012,-0.1978,-0.0057,-0.0389,0.0182,0.0814,0.1102
nocritic,5,F,-11.03,1.14,-43.7,0.0171,-0.0657,-0.0351,0.1678,0.1939,0.0825,-0.1445,0.1971
nocritic,5,FR,-10.99,1.38,-42.1,0.0089,-0.053,-0.0388,0.137,0.194,0.0554,-0.1079,0.1667
nocritic,5,R,-9.76,1.61,-36.1,0.0136,-0.0544,-0.036,0.1465,0.1853,0.0928,-0.1266,0.1655
nocritic,5,BR,-11.33,1.14,-51.6,0.0052,-0.0458,-0.0431,0.1465,0.177,0.0351,-0.0861,0.1087
nocritic,5,B,-10.1,1.52,-37.1,0.0116,-0.0519,-0.0288,0.1292,0.187,0.0693,-0.1089,0.1626
nocritic,5,BL,-9.78,0.55,-38.9,0.005,-0.0529,-0.0415,0.129,0.1987,0.0407,-0.0833,0.1469
nocritic,5,L,-10.27,1.39,-36.3,0.0188,-0.0639,-0.0419,0.1686,0.1897,0.1004,-0.1468,0.1905
nocritic,5,FL,-10.9,1.0,-43.6,0.018,-0.0629,-0.0305,0.1742,0.1887,0.0982,-0.1387,0.1944
nocritic,6,F,-7.28,0.01,-40.4,0.0033,-0.0097,-0.0015,0.0637,0.0214,0.0759,-0.0537,-0.0086
nocritic,6,FR,-7.04,0.32,-38.4,0.0096,-0.0285,-0.0041,0.1163,0.0056,0.0814,-0.0989,0.0109
nocritic,6,R,-3.79,0.23,-26.4,-0.0039,-0.0002,0.0083,0.0396,-0.0004,0.0583,-0.025,-0.0103
nocritic,6,BR,-7.6,-0.03,-34.5,0.0109,-0.0405,-0.0334,0.1129,0.0488,0.0528,-0.1067,-0.0071
nocritic,6,B,-6.34,0.16,-34.7,-0.001,-0.0084,0.0037,0.0487,0.0056,0.0645,-0.0416,0.0032
nocritic,6,BL,-7.07,-0.01,-33.9,0.0023,-0.0166,-0.0172,0.0698,0.0202,0.0456,-0.0524,-0.0452
nocritic,6,L,-4.9,0.12,-27.5,-0.0033,-0.0076,0.0063,0.0419,0.0038,0.0569,-0.0294,0.0029
nocritic,6,FL,-5.94,0.32,-23.9,0.0004,-0.019,-0.0118,0.0579,0.0206,0.0559,-0.0484,0.0021
nocritic,7,F,-7.25,2.89,-188.4,0.0425,0.3006,0.0653,0.0974,0.0318,-0.0322,-0.0146,0.0715
nocritic,7,FR,-12.6,4.36,-225.5,0.1963,0.2939,0.0284,0.0163,0.0398,-0.0468,-0.1953,0.0322
nocritic,7,R,-7.26,19.0,-502.6,0.0429,0.6602,0.3018,0.4044,0.165,-0.2252,-0.0911,-0.0221
nocritic,7,BR,-24.14,20.04,-493.1,0.2029,0.5564,0.3002,0.2733,0.2116,-0.2448,-0.3598,-0.2094
nocritic,7,B,-6.55,3.94,-178.1,0.0569,0.2999,0.0406,0.081,0.0287,-0.0941,-0.0986,-0.0128
nocritic,7,BL,-4.78,2.94,-198.6,-0.0033,0.2751,0.1222,0.1465,0.0479,-0.0295,-0.0003,-0.0329
nocritic,7,L,-2.61,1.33,-186.6,-0.008,0.2857,0.105,0.1266,0.0025,-0.0054,0.0182,0.0805
nocritic,7,FL,-13.47,-3.53,-37.2,0.1562,-0.0527,-0.0396,0.0203,0.0819,-0.0993,-0.1218,0.0105
nocritic,8,F,-9.84,-1.09,-23.8,0.2051,-0.0565,0.1115,-0.0305,0.0751,-0.0527,-0.1847,0.0652
nocritic,8,FR,-9.89,-1.05,-22.5,0.2304,-0.0568,0.1125,-0.0286,0.083,-0.0348,-0.196,0.0537
nocritic,8,R,-3.95,-0.61,-44.8,0.0478,0.0479,0.0734,-0.0322,0.0128,0.0056,-0.0755,0.0286
nocritic,8,BR,-9.96,-0.16,-40.2,0.1693,-0.0205,0.0422,0.0172,0.062,-0.0105,-0.1536,0.0627
nocritic,8,B,-7.8,0.02,-16.3,0.1202,-0.0386,0.0411,0.0107,0.0091,-0.0461,-0.0627,-0.0032
nocritic,8,BL,-7.76,-0.55,-3.6,0.1544,-0.068,0.0516,0.0093,0.0198,-0.049,-0.1227,0.0124
nocritic,8,L,-2.14,-0.05,3.7,0.0075,-0.0174,0.0143,-0.0317,0.009,0.025,-0.0158,0.0532
nocritic,8,FL,-6.91,-0.74,12.0,0.1602,-0.1025,0.0286,0.0048,0.0284,-0.0664,-0.1141,0.0015
nocritic,9,F,-8.08,1.23,-23.0,0.0305,0.0043,-0.0201,0.0076,-0.0275,0.0144,0.0144,0.0637
nocritic,9,FR,-10.14,1.66,-53.4,0.1111,0.0523,-0.1109,0.0707,-0.1013,-0.0101,-0.0003,0.0716
nocritic,9,R,2.5,-0.22,-31.1,-0.0349,0.0568,0.0178,-0.0065,0.0172,-0.0179,-0.0127,-0.0006
nocritic,9,BR,14.37,0.54,29.5,-0.1001,0.0465,0.07,-0.0993,0.0325,0.0022,-0.0392,-0.0785
nocritic,9,B,-4.97,1.27,-14.8,0.0069,0.0034,-0.0041,0.0123,-0.0251,0.0118,-0.0087,0.0431
nocritic,9,BL,9.83,-0.21,44.4,-0.0717,-0.0107,0.0461,-0.0607,0.0215,0.0138,-0.0184,-0.0348
nocritic,9,L,-8.26,1.72,-20.6,0.0201,-0.0009,-0.0185,0.0156,-0.0286,0.0154,-0.0063,0.0506
nocritic,9,FL,-9.68,1.31,-20.8,0.0466,-0.0207,-0.0187,0.0478,-0.0664,0.0031,0.009,0.0403
nocritic,10,F,-0.04,-0.01,-0.3,-0.0234,-0.0023,0.0035,-0.006,-0.0033,0.0025,-0.0002,-0.0007
nocritic,10,FR,-18.88,0.17,-114.1,0.0656,0.0457,0.0206,0.259,0.0272,-0.074,-0.0177,-0.0375
nocritic,10,R,-0.04,-0.01,-0.4,-0.0234,-0.0022,0.0036,-0.0063,-0.0029,0.0026,0.0003,-0.0009
nocritic,10,BR,-23.41,1.96,-158.0,0.1003,0.0932,0.0338,0.3669,0.0647,-0.1278,-0.054,-0.0588
nocritic,10,B,-0.05,0.01,-0.3,-0.0234,-0.0021,0.0038,-0.006,-0.0032,0.0029,0.0003,-0.0005
nocritic,10,BL,15.27,1.68,78.7,-0.0898,-0.011,0.0768,-0.1408,-0.0655,0.0832,-0.0099,0.0061
nocritic,10,L,-3.89,-1.37,-15.2,-0.0073,-0.0234,-0.0001,0.0066,-0.003,0.0148,-0.0008,0.0195
nocritic,10,FL,-6.82,-1.68,-12.4,0.008,-0.0618,-0.0199,0.0119,-0.0024,-0.0082,-0.0064,-0.0007
