scene,model,base_blur,end_blur,d_blur,x_blur,B
r00_B,ours_nocritic,998.0,937.0,-61.0,-41.6,41.6
r00_BL,ours_nocritic,983.8,920.5,-63.3,7.0,-7.0
r00_BR,ours_nocritic,966.8,844.0,-122.7,59.3,-59.3
r00_F,ours_nocritic,988.4,751.3,-237.1,-228.6,228.6
r00_FL,ours_nocritic,970.6,679.1,-291.6,-309.90000000000003,309.90000000000003
r00_FR,ours_nocritic,973.2,764.1,-209.1,-17.549999999999983,17.549999999999983
r00_L,ours_nocritic,1006.9,1226.3,219.3,235.8,-235.8
r00_R,ours_nocritic,955.3,664.0,-291.3,-133.65,133.65
r01_B,ours_nocritic,728.3,841.8,113.5,5.849999999999994,-5.849999999999994
r01_BL,ours_nocritic,703.4,834.4,130.9,22.200000000000003,-22.200000000000003
r01_BR,ours_nocritic,700.0,908.3,208.3,137.75,-137.75
r01_F,ours_nocritic,665.1,851.1,186.0,32.599999999999994,-32.599999999999994
r01_FL,ours_nocritic,637.2,810.7,173.4,106.35,-106.35
r01_FR,ours_nocritic,683.5,934.6,251.2,282.3,-282.3
r01_L,ours_nocritic,742.8,874.2,131.5,90.35,-90.35
r01_R,ours_nocritic,721.4,711.8,-9.7,-65.35,65.35
r02_B,ours_nocritic,323.4,336.9,13.6,-0.2999999999999989,0.2999999999999989
r02_BL,ours_nocritic,299.5,325.3,25.8,-67.00000000000001,67.00000000000001
r02_BR,ours_nocritic,301.7,321.8,20.1,15.4,-15.4
r02_F,ours_nocritic,319.7,331.7,12.0,-62.400000000000006,62.400000000000006
r02_FL,ours_nocritic,279.3,252.8,-26.5,-87.0,87.0
r02_FR,ours_nocritic,308.0,326.6,18.7,-25.250000000000004,25.250000000000004
r02_L,ours_nocritic,322.9,349.0,26.1,-58.99999999999999,58.99999999999999
r02_R,ours_nocritic,333.5,341.7,8.2,-2.4499999999999997,2.4499999999999997
r03_B,ours_nocritic,1985.5,2012.3,26.8,334.05,-334.05
r03_BL,ours_nocritic,1945.5,1546.9,-398.6,69.25,-69.25
r03_BR,ours_nocritic,1931.2,1799.2,-132.1,184.50000000000003,-184.50000000000003
r03_F,ours_nocritic,1975.7,2042.3,66.6,53.2,-53.2
r03_FL,ours_nocritic,1954.1,1643.7,-310.4,73.85000000000002,-73.85000000000002
r03_FR,ours_nocritic,1989.3,1873.0,-116.3,147.55,-147.55
r03_L,ours_nocritic,2004.2,2080.5,76.3,225.75,-225.75
r03_R,ours_nocritic,1985.2,2044.0,58.9,420.5,-420.5
r04_B,ours_nocritic,799.9,731.8,-68.1,-188.75,188.75
r04_BL,ours_nocritic,776.9,1076.4,299.6,306.65000000000003,-306.65000000000003
r04_BR,ours_nocritic,811.9,1155.5,343.6,319.8,-319.8
r04_F,ours_nocritic,776.1,813.2,37.1,5.800000000000001,-5.800000000000001
r04_FL,ours_nocritic,725.0,765.3,40.4,124.7,-124.7
r04_FR,ours_nocritic,783.7,938.2,154.5,148.15,-148.15
r04_L,ours_nocritic,823.4,1070.8,247.3,272.2,-272.2
r04_R,ours_nocritic,834.6,1103.4,268.8,235.25,-235.25
r05_B,ours_nocritic,218.0,191.1,-26.9,-10.45,10.45
r05_BL,ours_nocritic,213.2,171.0,-42.2,-66.80000000000001,66.80000000000001
r05_BR,ours_nocritic,214.6,197.1,-17.6,-60.15,60.15
r05_F,ours_nocritic,217.2,195.7,-21.5,-43.8,43.8
r05_FL,ours_nocritic,210.9,171.6,-39.3,-35.349999999999994,35.349999999999994
