uid,model,scene,n,fps,ctx,flag,n_events,score,cls,birth,birth_s,branch,onset,zprobe,bncc,box
ours_nocritic_r00_B,ours_nocritic,r00_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r00_BL,ours_nocritic,r00_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r00_BR,ours_nocritic,r00_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r00_F,ours_nocritic,r00_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r00_FL,ours_nocritic,r00_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r00_FR,ours_nocritic,r00_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r00_L,ours_nocritic,r00_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r00_R,ours_nocritic,r00_R,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01_B,ours_nocritic,r01_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01_BL,ours_nocritic,r01_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01_BR,ours_nocritic,r01_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01_F,ours_nocritic,r01_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01_FL,ours_nocritic,r01_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01_FR,ours_nocritic,r01_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01_L,ours_nocritic,r01_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01_R,ours_nocritic,r01_R,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02_B,ours_nocritic,r02_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02_BL,ours_nocritic,r02_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02_BR,ours_nocritic,r02_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02_F,ours_nocritic,r02_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02_FL,ours_nocritic,r02_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02_FR,ours_nocritic,r02_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02_L,ours_nocritic,r02_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02_R,ours_nocritic,r02_R,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03_B,ours_nocritic,r03_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03_BL,ours_nocritic,r03_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03_BR,ours_nocritic,r03_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03_F,ours_nocritic,r03_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03_FL,ours_nocritic,r03_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03_FR,ours_nocritic,r03_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03_L,ours_nocritic,r03_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03_R,ours_nocritic,r03_R,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04_B,ours_nocritic,r04_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04_BL,ours_nocritic,r04_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04_BR,ours_nocritic,r04_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04_F,ours_nocritic,r04_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04_FL,ours_nocritic,r04_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04_FR,ours_nocritic,r04_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04_L,ours_nocritic,r04_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04_R,ours_nocritic,r04_R,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05_B,ours_nocritic,r05_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05_BL,ours_nocritic,r05_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05_BR,ours_nocritic,r05_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05_F,ours_nocritic,r05_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05_FL,ours_nocritic,r05_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05_FR,ours_nocritic,r05_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05_L,ours_nocritic,r05_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05_R,ours_nocritic,r05_R,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06_B,ours_nocritic,r06_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06_BL,ours_nocritic,r06_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06_BR,ours_nocritic,r06_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06_F,ours_nocritic,r06_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06_FL,ours_nocritic,r06_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06_FR,ours_nocritic,r06_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06_L,ours_nocritic,r06_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06_R,ours_nocritic,r06_R,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07_B,ours_nocritic,r07_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07_BL,ours_nocritic,r07_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07_BR,ours_nocritic,r07_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07_F,ours_nocritic,r07_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07_FL,ours_nocritic,r07_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07_FR,ours_nocritic,r07_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07_L,ours_nocritic,r07_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07_R,ours_nocritic,r07_R,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08_B,ours_nocritic,r08_B,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08_BL,ours_nocritic,r08_BL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08_BR,ours_nocritic,r08_BR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08_F,ours_nocritic,r08_F,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08_FL,ours_nocritic,r08_FL,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08_FR,ours_nocritic,r08_FR,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08_L,ours_nocritic,r08_L,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08_R,ours_nocritic,r08_R,108,16.0,12,0,0,,,,,,,,,
