scene,model,static_inl,static
r00_B,ours_nocritic,1432,1
r00_BL,ours_nocritic,1236,1
r00_BR,ours_nocritic,872,1
r00_F,ours_nocritic,876,1
r00_FL,ours_nocritic,668,1
r00_FR,ours_nocritic,790,1
r00_L,ours_nocritic,1676,1
r00_R,ours_nocritic,694,1
r01_B,ours_nocritic,1262,1
r01_BL,ours_nocritic,1330,1
r01_BR,ours_nocritic,1259,1
r01_F,ours_nocritic,1018,1
r01_FL,ours_nocritic,1011,1
r01_FR,ours_nocritic,913,1
r01_L,ours_nocritic,1383,1
r01_R,ours_nocritic,918,1
r02_B,ours_nocritic,1447,1
r02_BL,ours_nocritic,1474,1
r02_BR,ours_nocritic,1449,1
r02_F,ours_nocritic,1460,1
r02_FL,ours_nocritic,1275,1
r02_FR,ours_nocritic,1450,1
r02_L,ours_nocritic,1465,1
r02_R,ours_nocritic,1486,1
r03_B,ours_nocritic,2070,1
r03_BL,ours_nocritic,1386,1
r03_BR,ours_nocritic,1,0
r03_F,ours_nocritic,2084,1
r03_FL,ours_nocritic,1735,1
r03_FR,ours_nocritic,862,1
r03_L,ours_nocritic,2093,1
r03_R,ours_nocritic,2097,1
r04_B,ours_nocritic,590,0
r04_BL,ours_nocritic,1399,1
r04_BR,ours_nocritic,1379,1
r04_F,ours_nocritic,789,1
r04_FL,ours_nocritic,534,0
r04_FR,ours_nocritic,668,1
r04_L,ours_nocritic,1218,1
r04_R,ours_nocritic,1424,1
r05_B,ours_nocritic,380,0
r05_BL,ours_nocritic,432,0
r05_BR,ours_nocritic,395,0
r05_F,ours_nocritic,360,0
r05_FL,ours_nocritic,407,0
r05_FR,ours_nocritic,347,0
r05_L,ours_nocritic,431,0
r05_R,ours_nocritic,414,0
r06_B,ours_nocritic,1394,1
r06_BL,ours_nocritic,1346,1
r06_BR,ours_nocritic,1196,1
r06_F,ours_nocritic,1337,1
r06_FL,ours_nocritic,1413,1
r06_FR,ours_nocritic,1270,1
r06_L,ours_nocritic,1454,1
r06_R,ours_nocritic,1431,1
r07_B,ours_nocritic,870,1
r07_BL,ours_nocritic,643,1
r07_BR,ours_nocritic,116,0
r07_F,ours_nocritic,737,1
r07_FL,ours_nocritic,895,1
r07_FR,ours_nocritic,539,0
r07_L,ours_nocritic,949,1
r07_R,ours_nocritic,192,0
r08_B,ours_nocritic,904,1
r08_BL,ours_nocritic,754,1
r08_BR,ours_nocritic,762,1
r08_F,ours_nocritic,715,1
r08_FL,ours_nocritic,700,1
r08_FR,ours_nocritic,715,1
r08_L,ours_nocritic,1034,1
r08_R,ours_nocritic,790,1
r09_B,ours_nocritic,1247,1
r09_BL,ours_nocritic,943,1
r09_BR,ours_nocritic,726,1
r09_F,ours_nocritic,929,1
r09_FL,ours_nocritic,921,1
r09_FR,ours_nocritic,788,1
r09_L,ours_nocritic,1067,1
r09_R,ours_nocritic,1368,1
r10_B,ours_nocritic,2132,1
r10_BL,ours_nocritic,1106,1
r10_BR,ours_nocritic,707,1
r10_F,ours_nocritic,2160,1
r10_FL,ours_nocritic,1341,1
r10_FR,ours_nocritic,793,1
r10_L,ours_nocritic,1659,1
r10_R,ours_nocritic,2145,1
r11_B,ours_nocritic,188,0
r11_BL,ours_nocritic,187,0
r11_BR,ours_nocritic,189,0
r11_F,ours_nocritic,185,0
r11_FL,ours_nocritic,189,0
r11_FR,ours_nocritic,186,0
r11_L,ours_nocritic,185,0
r11_R,ours_nocritic,189,0
r12_B,ours_nocritic,34,0
r12_BL,ours_nocritic,45,0
r12_BR,ours_nocritic,69,0
r12_F,ours_nocritic,48,0
r12_FL,ours_nocritic,37,0
r12_FR,ours_nocritic,48,0
r12_L,ours_nocritic,71,0
r12_R,ours_nocritic,61,0
r13_B,ours_nocritic,1005,1
r13_BL,ours_nocritic,989,1
r13_BR,ours_nocritic,1412,1
r13_F,ours_nocritic,1039,1
r13_FL,ours_nocritic,711,1
r13_FR,ours_nocritic,1113,1
r13_L,ours_nocritic,1003,1
r13_R,ours_nocritic,901,1
r14_B,ours_nocritic,439,0
r14_BL,ours_nocritic,411,0
r14_BR,ours_nocritic,746,1
r14_F,ours_nocritic,575,0
r14_FL,ours_nocritic,489,0
r14_FR,ours_nocritic,353,0
r14_L,ours_nocritic,507,0
r14_R,ours_nocritic,406,0
r15_B,ours_nocritic,523,0
r15_BL,ours_nocritic,699,1
r15_BR,ours_nocritic,247,0
r15_F,ours_nocritic,419,0
r15_FL,ours_nocritic,376,0
r15_FR,ours_nocritic,278,0
r15_L,ours_nocritic,744,1
r15_R,ours_nocritic,210,0
r16_B,ours_nocritic,1165,1
r16_BL,ours_nocritic,1303,1
r16_BR,ours_nocritic,1336,1
r16_F,ours_nocritic,1137,1
r16_FL,ours_nocritic,1059,1
r16_FR,ours_nocritic,1001,1
r16_L,ours_nocritic,1444,1
r16_R,ours_nocritic,1278,1
r17_B,ours_nocritic,878,1
r17_BL,ours_nocritic,934,1
r17_BR,ours_nocritic,546,0
r17_F,ours_nocritic,473,0
r17_FL,ours_nocritic,592,0
r17_FR,ours_nocritic,514,0
r17_L,ours_nocritic,576,0
r17_R,ours_nocritic,573,0
r18_B,ours_nocritic,1431,1
r18_BL,ours_nocritic,1400,1
r18_BR,ours_nocritic,1418,1
r18_F,ours_nocritic,1418,1
r18_FL,ours_nocritic,1383,1
r18_FR,ours_nocritic,1373,1
r18_L,ours_nocritic,1434,1
r18_R,ours_nocritic,1425,1
r19_B,ours_nocritic,1260,1
r19_BL,ours_nocritic,1058,1
r19_BR,ours_nocritic,835,1
r19_F,ours_nocritic,667,1
r19_FL,ours_nocritic,707,1
r19_FR,ours_nocritic,639,1
r19_L,ours_nocritic,1224,1
r19_R,ours_nocritic,1459,1
r20_B,ours_nocritic,1889,1
r20_BL,ours_nocritic,1903,1
r20_BR,ours_nocritic,1906,1
r20_F,ours_nocritic,1963,1
r20_FL,ours_nocritic,1846,1
r20_FR,ours_nocritic,1834,1
r20_L,ours_nocritic,1946,1
r20_R,ours_nocritic,1954,1
r21_B,ours_nocritic,12,0
r21_BL,ours_nocritic,10,0
r21_BR,ours_nocritic,24,0
r21_F,ours_nocritic,23,0
r21_FL,ours_nocritic,26,0
r21_FR,ours_nocritic,27,0
r21_L,ours_nocritic,25,0
r21_R,ours_nocritic,24,0
r22_B,ours_nocritic,2003,1
r22_BL,ours_nocritic,1757,1
r22_BR,ours_nocritic,1291,1
r22_F,ours_nocritic,1719,1
