model,scene,stillness,lap_loss,drift_inl,haze
pca8,0,1533.0,-238.5,1712,-88.80000000000001
pca8,1,1820.0,-374.5,2107,-241.0
pca8,2,1473.0,-113.5,1832,-24.69999999999999
pca8,3,2033.0,-26.9,2438,7.350000000000001
pca8,4,1380.0,-304.9,1893,-41.5
pca8,5,406.0,-28.0,545,-27.5
pca8,6,1533.0,114.7,1769,92.7
pca8,7,1745.0,-181.8,1899,-84.75000000000001
pca8,8,1781.0,-156.5,2015,-6.900000000000006
pca8,9,1583.0,-644.2,1642,-164.45000000000005
pca8,10,2023.0,-143.7,2409,-82.99999999999999
pca8,11,223.0,-12.9,355,-2.950000000000001
pca8,12,616.0,-333.4,1442,-133.04999999999998
pca8,13,1747.0,-16.4,2181,-16.95
pca8,14,2107.0,-258.2,2434,-176.64999999999998
pca8,15,1367.0,-344.6,1429,-116.95000000000005
pca8,16,1638.0,-289.2,1810,-176.29999999999998
pca8,17,1678.0,-185.1,1679,-65.25
pca8,18,1377.0,-30.7,1612,1.3000000000000007
pca8,19,1453.0,-167.2,1919,-52.599999999999994
pca8,20,1557.0,-217.3,2006,-16.5
pca8,21,6.0,7.4,6,8.9
pca8,22,2056.0,-298.9,2481,-126.09999999999997
pca8,23,1833.0,-134.7,1925,-87.49999999999999
pca8,24,2135.0,-178.7,2466,-43.79999999999998
pca8,25,498.0,-209.2,1631,-112.6
pca8,26,489.0,-186.6,1194,-33.25
pca8,27,1532.0,-5.5,1597,42.3
pca8,28,1852.0,-171.1,2125,-56.3
pca8,29,1451.0,-291.2,1723,-97.55000000000001
pca8,30,785.0,-77.3,1296,33.250000000000014
pca8,31,666.0,-30.3,812,-11.850000000000001
pca4,0,1761.0,-424.2,2146,-274.5
pca4,1,1856.0,-444.7,2111,-311.2
pca4,2,1515.0,-178.4,1949,-89.6
pca4,3,1991.0,-226.1,2438,-191.85
pca4,4,1397.0,-343.7,1956,-80.30000000000001
pca4,5,568.0,-34.8,620,-34.3
pca4,6,1839.0,-129.1,2217,-151.1
pca4,7,1794.0,-326.7,1901,-229.64999999999998
pca4,8,1696.0,-249.2,2015,-99.6
pca4,9,1712.0,-704.3,2177,-224.54999999999995
pca4,10,1989.0,-248.8,2409,-188.10000000000002
pca4,11,212.0,-15.6,355,-5.65
pca4,12,654.0,-445.4,1444,-245.04999999999998
pca4,13,1742.0,-57.6,2181,-58.150000000000006
pca4,14,2046.0,-391.6,2434,-310.05
pca4,15,1621.0,-744.7,1805,-517.0500000000001
pca4,16,1746.0,-284.7,2155,-171.79999999999998
pca4,17,1513.0,-409.1,1572,-289.25
pca4,18,1319.0,-41.9,1612,-9.899999999999999
pca4,19,1425.0,-173.3,1919,-58.70000000000002
pca4,20,1719.0,-223.7,2242,-22.899999999999977
pca4,21,6.0,3.9,6,5.4
pca4,22,1948.0,-386.8,2481,-214.0
pca4,23,2015.0,-351.5,2433,-304.3
pca4,24,2053.0,-322.6,2466,-187.70000000000002
pca4,25,522.0,-349.2,1631,-252.6
pca4,26,773.0,-269.3,1488,-115.95000000000002
pca4,27,1812.0,-157.1,2093,-109.3
pca4,28,1793.0,-231.6,2118,-116.8
pca4,29,1409.0,-334.5,1752,-140.85000000000002
pca4,30,860.0,-260.7,1542,-150.14999999999998
pca4,31,663.0,-26.0,882,-7.550000000000001
pca2,0,1775.0,-300.1,2081,-150.40000000000003
pca2,1,1803.0,-151.9,1960,-18.400000000000006
pca2,2,1530.0,-124.9,1836,-36.099999999999994
pca2,3,1991.0,-83.5,2370,-49.25
pca2,4,1330.0,-301.5,1651,-38.10000000000002
pca2,5,485.0,10.8,706,11.3
pca2,6,806.0,386.0,900,364.0
pca2,7,2049.0,127.1,2295,224.14999999999998
pca2,8,1663.0,-15.1,1845,134.5
pca2,9,1766.0,-303.2,2070,176.55
pca2,10,2023.0,-160.3,2208,-99.60000000000001
pca2,11,157.0,-0.2,210,9.75
pca2,12,542.0,-281.4,824,-81.04999999999998
pca2,13,1397.0,390.7,1614,390.15
pca2,14,1955.0,-99.6,2194,-18.049999999999997
pca2,15,1642.0,-514.0,1873,-286.35
pca2,16,1680.0,-119.8,1708,-6.8999999999999915
pca2,17,1100.0,-67.2,1626,52.64999999999999
pca2,18,1412.0,-33.3,1605,-1.2999999999999972
pca2,19,1496.0,-136.7,1877,-22.099999999999994
pca2,20,1729.0,-315.9,2131,-115.09999999999997
pca2,21,6.0,-1.4,8,0.10000000000000009
pca2,22,1932.0,-149.1,2214,23.700000000000017
pca2,23,2092.0,1.1,2319,48.300000000000004
pca2,24,2080.0,-202.2,2425,-67.29999999999998
pca2,25,581.0,-110.5,1568,-13.900000000000006
pca2,26,1146.0,-227.8,1305,-74.45000000000002
pca2,27,1600.0,-1.8,1712,46.0
pca2,28,1862.0,-120.5,2070,-5.700000000000003
pca2,29,1398.0,-225.0,1659,-31.350000000000023
pca2,30,974.0,-201.8,1579,-91.25
pca2,31,682.0,1.7,849,20.15
16node,0,1767.0,-419.3,2081,-269.6
16node,1,1849.0,-377.3,2146,-243.8
16node,2,1545.0,-193.3,1949,-104.5
16node,3,2057.0,-348.4,2368,-314.15
16node,4,1509.0,-593.3,1862,-329.9
16node,5,583.0,-11.8,771,-11.3
16node,6,1828.0,48.3,2080,26.299999999999997
16node,7,1841.0,-453.7,1897,-356.65
16node,8,1746.0,-145.6,1912,4.0
16node,9,1808.0,-664.5,2042,-184.75
16node,10,2092.0,-424.5,2351,-363.8
16node,11,214.0,-7.0,299,2.9499999999999993
16node,12,649.0,-268.6,1294,-68.25000000000003
16node,13,1706.0,-56.3,2067,-56.849999999999994
16node,14,2154.0,-216.4,2340,-134.85000000000002
16node,15,1845.0,-1237.9,1907,-1010.2500000000001
16node,16,1735.0,-220.5,2026,-107.6
16node,17,1172.0,-256.2,1689,-136.35
16node,18,1467.0,-49.9,1603,-17.9
16node,19,1443.0,-207.3,1901,-92.70000000000002
16node,20,1874.0,-474.2,2227,-273.4
16node,21,27.0,-2.3,41,-0.7999999999999998
16node,22,2004.0,-627.9,2272,-455.09999999999997
16node,23,2148.0,-222.7,2286,-175.5
16node,24,2112.0,-560.1,2358,-425.20000000000005
16node,25,666.0,-243.1,1667,-146.5
16node,26,950.0,-299.2,1789,-145.85
16node,27,1894.0,-208.9,2093,-161.10000000000002
16node,28,1882.0,-264.3,2104,-149.5
16node,29,1486.0,-392.6,1752,-198.95000000000005
16node,30,919.0,-351.6,1546,-241.05
16node,31,636.0,-10.9,823,7.549999999999999
4node,0,1618.0,-167.9,2070,-18.200000000000017
4node,1,1774.0,-42.3,2044,91.2
4node,2,1515.0,-94.2,1756,-5.3999999999999915
4node,3,1922.0,11.6,2259,45.85
4node,4,1313.0,-275.3,1673,-11.900000000000034
4node,5,475.0,40.4,777,40.9
4node,6,1629.0,191.7,1921,169.7
4node,7,1831.0,163.3,2047,260.35
4node,8,1665.0,36.1,1845,185.7
4node,9,1689.0,19.2,2070,498.95
4node,10,2039.0,-86.9,2236,-26.200000000000003
4node,11,201.0,-6.9,284,3.049999999999999
4node,12,444.0,-116.2,778,84.14999999999999
4node,13,1610.0,206.9,1932,206.35
4node,14,2054.0,52.6,2244,134.15
4node,15,1620.0,-147.6,1907,80.04999999999998
4node,16,1715.0,-8.6,1908,104.30000000000001
4node,17,1220.0,244.8,1716,364.65
4node,18,1345.0,-23.8,1568,8.2
4node,19,1324.0,-66.4,1592,48.19999999999999
4node,20,1650.0,-347.0,2082,-146.2
4node,21,16.0,10.0,22,11.5
4node,22,1919.0,-54.5,2196,118.30000000000001
4node,23,2060.0,220.3,2319,267.5
4node,24,1928.0,-120.7,2276,14.200000000000003
4node,25,692.0,-105.1,1610,-8.5
4node,26,667.0,-120.1,1270,33.25
4node,27,1838.0,-26.0,2028,21.799999999999997
4node,28,1797.0,-127.7,2017,-12.900000000000006
4node,29,1388.0,-107.9,1636,85.74999999999997
4node,30,919.0,-47.2,1640,63.35000000000001
4node,31,640.0,3.8,928,22.25
noatok,0,1752.0,-117.7,2146,31.999999999999986
noatok,1,1855.0,-173.3,2146,-39.80000000000001
noatok,2,1489.0,-19.9,1815,68.9
noatok,3,1984.0,115.8,2400,150.05
noatok,4,1394.0,-179.2,1956,84.19999999999999
noatok,5,442.0,21.7,708,22.2
noatok,6,1871.0,-4.3,2217,-26.3
noatok,7,2097.0,-143.1,2295,-46.05
noatok,8,1680.0,-39.1,1901,110.5
noatok,9,1838.0,-259.2,2177,220.55
noatok,10,1981.0,-19.6,2352,41.1
noatok,11,208.0,-3.4,315,6.549999999999999
noatok,12,679.0,-181.6,1375,18.75
noatok,13,1763.0,106.0,2096,105.45
noatok,14,2082.0,-134.6,2386,-53.05
noatok,15,1859.0,-136.8,1886,90.84999999999997
noatok,16,1738.0,-104.4,2155,8.5
noatok,17,1216.0,-122.2,1701,-2.3500000000000085
noatok,18,1335.0,-1.3,1572,30.7
noatok,19,1415.0,-68.3,1844,46.3
noatok,20,1694.0,15.5,2251,216.3
noatok,21,13.0,6.8,17,8.3
noatok,22,1924.0,-221.1,2334,-48.29999999999998
noatok,23,1996.0,-127.5,2433,-80.3
noatok,24,2076.0,-104.2,2401,30.700000000000003
noatok,25,693.0,-9.6,1531,87.0
noatok,26,885.0,-97.0,1789,56.349999999999994
noatok,27,1875.0,-33.4,2029,14.399999999999999
noatok,28,1788.0,-69.9,2115,44.89999999999999
noatok,29,1378.0,-159.8,1746,33.849999999999966
noatok,30,979.0,-143.8,1641,-33.25
noatok,31,662.0,8.9,928,27.35
noadaln,0,782.0,292.5,816,442.2
noadaln,1,802.0,105.1,920,238.6
noadaln,2,302.0,-11.7,299,77.10000000000001
noadaln,3,27.0,663.1,50,697.35
noadaln,4,403.0,224.1,607,487.5
noadaln,5,452.0,63.3,658,63.8
noadaln,6,479.0,512.7,505,490.70000000000005
noadaln,7,606.0,922.7,671,1019.75
noadaln,8,614.0,310.5,639,460.1
noadaln,9,729.0,283.8,781,763.55
noadaln,10,237.0,689.7,295,750.4000000000001
noadaln,11,197.0,-1.4,280,8.549999999999999
noadaln,12,28.0,228.5,72,428.85
noadaln,13,519.0,659.6,579,659.0500000000001
noadaln,14,141.0,655.2,207,736.75
noadaln,15,104.0,576.7,224,804.35
noadaln,16,904.0,-20.7,939,92.2
noadaln,17,896.0,-117.5,1393,2.3499999999999943
noadaln,18,1296.0,-5.7,1542,26.3
noadaln,19,639.0,111.8,764,226.39999999999998
noadaln,20,37.0,1320.5,60,1521.3
noadaln,21,1.0,13.6,7,15.1
noadaln,22,519.0,850.3,526,1023.0999999999999
noadaln,23,266.0,648.7,341,695.9000000000001
noadaln,24,835.0,609.1,912,744.0
noadaln,25,44.0,257.6,115,354.20000000000005
noadaln,26,27.0,414.8,26,568.15
noadaln,27,536.0,248.9,539,296.7
noadaln,28,1251.0,209.0,1386,323.8
noadaln,29,305.0,89.7,343,283.34999999999997
noadaln,30,456.0,251.0,585,361.55
noadaln,31,335.0,27.3,405,45.75
nocritic,0,1655.0,-120.0,1872,29.69999999999999
nocritic,1,1451.0,-115.1,1616,18.400000000000006
nocritic,2,1496.0,-57.9,1836,30.900000000000013
nocritic,3,2095.0,-44.1,2384,-9.850000000000001
nocritic,4,1416.0,-251.5,1691,11.899999999999977
nocritic,5,347.0,37.4,546,37.9
nocritic,6,1430.0,100.9,1768,78.9
nocritic,7,1555.0,87.1,1716,184.14999999999998
nocritic,8,1173.0,-17.1,1215,132.5
nocritic,9,1031.0,-188.1,1226,291.65
nocritic,10,2162.0,-141.5,2355,-80.8
nocritic,11,206.0,-5.3,316,4.6499999999999995
nocritic,12,35.0,175.6,99,375.95
nocritic,13,1165.0,263.7,1269,263.15
nocritic,14,661.0,-63.5,671,18.049999999999997
nocritic,15,888.0,-98.1,992,129.54999999999998
nocritic,16,1591.0,-138.1,1821,-25.19999999999999
nocritic,17,760.0,-135.9,1426,-16.05000000000001
nocritic,18,1405.0,-27.6,1605,4.399999999999999
nocritic,19,1490.0,-116.0,1877,-1.4000000000000057
nocritic,20,1798.0,-134.9,2251,65.9
nocritic,21,42.0,-0.9,42,0.6
nocritic,22,2056.0,-196.5,2423,-23.69999999999999
nocritic,23,1632.0,25.5,1794,72.7
nocritic,24,2160.0,-116.6,2427,18.30000000000001
nocritic,25,672.0,-73.4,1667,23.19999999999999
nocritic,26,136.0,-13.1,248,140.25
nocritic,27,652.0,176.2,679,224.0
nocritic,28,1851.0,-109.1,2125,5.700000000000003
nocritic,29,1353.0,-207.2,1541,-13.550000000000011
nocritic,30,777.0,182.4,1109,292.95000000000005
nocritic,31,482.0,36.2,661,54.650000000000006
astra,0,825.0,68.1,811,217.79999999999998
astra,1,12.0,299.9,15,433.4
astra,2,107.0,-67.6,111,21.200000000000017
astra,3,1344.0,-377.4,1315,-343.15
astra,4,326.0,-777.2,295,-513.8000000000001
astra,5,345.0,49.7,341,50.2
astra,6,836.0,-140.3,1016,-162.3
astra,7,49.0,-520.0,69,-422.95
astra,8,52.0,-316.8,53,-167.20000000000002
astra,9,13.0,-4413.4,13,-3933.6499999999996
astra,10,1273.0,-66.2,1252,-5.5
astra,11,4.0,-21.4,5,-11.45
astra,12,31.0,178.3,66,378.65
astra,13,13.0,-1098.1,16,-1098.6499999999999
astra,14,1338.0,167.1,1411,248.64999999999998
astra,15,421.0,156.9,538,384.54999999999995
astra,16,24.0,137.4,51,250.3
