scene,model,base_blur,end_blur,d_blur,x_blur,B
r00,astra,623.6,695.4,71.8,-37.3,37.3
r00,matrixgame,409.6,568.4,158.8,49.70000000000002,-49.70000000000002
r00,minwm,853.4,946.7,93.3,-15.799999999999997,15.799999999999997
r00,ours_16node,769.8,1065.7,295.8,186.70000000000002,-186.70000000000002
r00,ours_4node,707.7,823.1,115.4,6.300000000000011,-6.300000000000011
r00,ours_noadaln,649.9,494.8,-155.1,-264.2,264.2
r00,ours_noatok,702.7,768.1,65.3,-43.8,43.8
r00,ours_nocritic,728.5,784.8,56.3,-52.8,52.8
r00,ours_pca2,750.3,931.7,181.5,72.4,-72.4
r00,ours_pca4,772.1,1038.6,266.5,157.4,-157.4
r00,ours_pca8,721.4,859.3,137.9,28.80000000000001,-28.80000000000001
r00,worldcam,1022.3,944.7,-77.6,-186.7,186.7
r00,worldplay,777.4,900.8,123.4,14.300000000000011,-14.300000000000011
r00,yume,683.3,786.1,102.8,-6.299999999999997,6.299999999999997
r01,astra,367.6,368.4,0.9,-122.3,122.3
r01,matrixgame,334.5,441.3,106.8,-16.400000000000006,16.400000000000006
r01,minwm,628.3,745.4,117.1,-6.1000000000000085,6.1000000000000085
r01,ours_16node,771.2,1148.6,377.4,254.2,-254.2
r01,ours_4node,615.1,711.9,96.8,-26.400000000000006,26.400000000000006
r01,ours_noadaln,549.6,533.0,-16.6,-139.8,139.8
r01,ours_noatok,678.8,838.6,159.8,36.60000000000001,-36.60000000000001
r01,ours_nocritic,653.0,782.3,129.3,6.1000000000000085,-6.1000000000000085
r01,ours_pca2,695.2,873.5,178.3,55.10000000000001,-55.10000000000001
r01,ours_pca4,737.4,1156.5,419.1,295.90000000000003,-295.90000000000003
r01,ours_pca8,722.3,1042.9,320.6,197.40000000000003,-197.40000000000003
r01,worldcam,1143.4,1347.0,203.6,80.39999999999999,-80.39999999999999
r01,worldplay,698.1,725.3,27.2,-96.0,96.0
r01,yume,640.5,689.2,48.7,-74.5,74.5
r02,astra,160.2,313.3,153.2,82.49999999999999,-82.49999999999999
r02,matrixgame,93.2,180.0,86.8,16.099999999999994,-16.099999999999994
r02,minwm,310.7,380.8,70.2,-0.5,0.5
r02,ours_16node,275.2,416.4,141.2,70.49999999999999,-70.49999999999999
r02,ours_4node,238.8,307.2,68.4,-2.299999999999997,2.299999999999997
r02,ours_noadaln,153.6,202.3,48.7,-22.0,22.0
r02,ours_noatok,247.1,259.8,12.7,-58.0,58.0
r02,ours_nocritic,260.4,284.3,23.9,-46.800000000000004,46.800000000000004
r02,ours_pca2,246.4,317.7,71.2,0.5,-0.5
r02,ours_pca4,270.9,391.8,120.9,50.2,-50.2
r02,ours_pca8,228.6,303.0,74.4,3.700000000000003,-3.700000000000003
r02,worldcam,399.8,473.5,73.7,3.0,-3.0
r02,worldplay,114.3,144.5,30.2,-40.5,40.5
r02,yume,102.9,123.6,20.6,-50.1,50.1
r03,astra,1469.6,1924.5,454.9,413.79999999999995,-413.79999999999995
r03,matrixgame,763.0,888.5,125.5,84.4,-84.4
r03,minwm,1336.3,1338.1,1.8,-39.3,39.3
r03,ours_16node,1652.3,1971.0,318.7,277.6,-277.6
r03,ours_4node,1507.6,1503.5,-4.1,-45.199999999999996,45.199999999999996
r03,ours_noadaln,1350.9,974.6,-376.2,-417.29999999999995,417.29999999999995
r03,ours_noatok,1531.8,1426.9,-105.0,-146.1,146.1
r03,ours_nocritic,1573.3,1629.8,56.5,15.400000000000006,-15.400000000000006
r03,ours_pca2,1561.6,1604.9,43.3,2.200000000000003,-2.200000000000003
r03,ours_pca4,1611.9,1782.1,170.2,129.1,-129.1
r03,ours_pca8,1552.5,1591.4,38.9,-2.1999999999999957,2.1999999999999957
r03,worldcam,1617.5,1841.3,223.9,182.8,-182.8
r03,worldplay,1995.5,1857.7,-137.8,-178.9,178.9
r03,yume,1247.8,867.2,-380.5,-421.6,421.6
r04,astra,539.9,1480.3,940.4,696.8,-696.8
r04,matrixgame,382.5,584.2,201.7,-41.900000000000006,41.900000000000006
