uid,model,scene,n,fps,ctx,flag,n_events,score,cls,birth,birth_s,branch,onset,zprobe,bncc,box
ours_nocritic_r00,ours_nocritic,r00,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r00,ours_pca8,r00,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r01,ours_nocritic,r01,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r01,ours_pca8,r01,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r02,ours_nocritic,r02,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r02,ours_pca8,r02,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r03,ours_nocritic,r03,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r03,ours_pca8,r03,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r04,ours_nocritic,r04,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r04,ours_pca8,r04,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r05,ours_nocritic,r05,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r05,ours_pca8,r05,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r06,ours_nocritic,r06,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r06,ours_pca8,r06,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r07,ours_nocritic,r07,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r07,ours_pca8,r07,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r08,ours_nocritic,r08,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r08,ours_pca8,r08,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r09,ours_nocritic,r09,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r09,ours_pca8,r09,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r10,ours_nocritic,r10,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r10,ours_pca8,r10,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r11,ours_nocritic,r11,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r11,ours_pca8,r11,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r12,ours_nocritic,r12,108,16.0,12,0,0,-0.48,car,70.0,3.62,A,3.36,0.45,0.96,"[413.4, 294.6, 455.0, 327.9]"
ours_pca8_r12,ours_pca8,r12,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r13,ours_nocritic,r13,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r13,ours_pca8,r13,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r14,ours_nocritic,r14,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r14,ours_pca8,r14,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r15,ours_nocritic,r15,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r15,ours_pca8,r15,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r16,ours_nocritic,r16,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r16,ours_pca8,r16,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r17,ours_nocritic,r17,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r17,ours_pca8,r17,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r18,ours_nocritic,r18,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r18,ours_pca8,r18,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r19,ours_nocritic,r19,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r19,ours_pca8,r19,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r20,ours_nocritic,r20,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r20,ours_pca8,r20,108,16.0,12,0,0,-0.45,suitcase,38.0,1.62,A,2.73,0.43,0.58,"[452.9, 243.8, 541.7, 388.2]"
ours_nocritic_r21,ours_nocritic,r21,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r21,ours_pca8,r21,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r22,ours_nocritic,r22,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r22,ours_pca8,r22,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r23,ours_nocritic,r23,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r23,ours_pca8,r23,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r24,ours_nocritic,r24,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r24,ours_pca8,r24,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r25,ours_nocritic,r25,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r25,ours_pca8,r25,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r26,ours_nocritic,r26,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r26,ours_pca8,r26,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r27,ours_nocritic,r27,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r27,ours_pca8,r27,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r28,ours_nocritic,r28,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r28,ours_pca8,r28,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r29,ours_nocritic,r29,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r29,ours_pca8,r29,108,16.0,12,0,0,,,,,,,,,
ours_nocritic_r30,ours_nocritic,r30,108,16.0,12,0,0,-0.33,car,12.0,0.0,A,3.33,0.24,0.44,"[202.9, 187.7, 253.6, 230.6]"
ours_pca8_r30,ours_pca8,r30,108,16.0,12,0,0,-0.49,car,12.0,0.0,A,2.55,0.52,0.46,"[205.2, 189.5, 259.3, 233.6]"
ours_nocritic_r31,ours_nocritic,r31,108,16.0,12,0,0,,,,,,,,,
ours_pca8_r31,ours_pca8,r31,108,16.0,12,0,0,,,,,,,,,
