scene,model,dino_drift
r00,astra,0.1889
r00,matrixgame,0.4835
r00,minwm,0.113
r00,ours_16node,0.0555
r00,ours_4node,0.0418
r00,ours_noadaln,0.1588
r00,ours_noatok,0.0335
r00,ours_nocritic,0.0389
r00,ours_pca2,0.0436
r00,ours_pca4,0.0584
r00,ours_pca8,0.0488
r00,worldcam,0.3701
r00,worldplay,0.0765
r00,yume,0.0656
r01,astra,0.6767
r01,matrixgame,0.4619
r01,minwm,0.151
r01,ours_16node,0.0776
r01,ours_4node,0.0857
r01,ours_noadaln,0.2348
r01,ours_noatok,0.0714
r01,ours_nocritic,0.0955
r01,ours_pca2,0.0817
r01,ours_pca4,0.0903
r01,ours_pca8,0.071
r01,worldcam,0.3342
r01,worldplay,0.0734
r01,yume,0.2435
r02,astra,0.4453
r02,matrixgame,0.4492
r02,minwm,0.3913
r02,ours_16node,0.0693
r02,ours_4node,0.0926
r02,ours_noadaln,0.2394
r02,ours_noatok,0.0596
r02,ours_nocritic,0.0739
r02,ours_pca2,0.0862
r02,ours_pca4,0.0576
r02,ours_pca8,0.0716
r02,worldcam,0.215
r02,worldplay,0.3356
r02,yume,0.0952
r03,astra,0.1501
r03,matrixgame,0.48
r03,minwm,0.1221
r03,ours_16node,0.0576
r03,ours_4node,0.0697
r03,ours_noadaln,0.3717
r03,ours_noatok,0.0696
r03,ours_nocritic,0.0724
r03,ours_pca2,0.1604
r03,ours_pca4,0.0591
r03,ours_pca8,0.1273
r03,worldcam,0.3365
r03,worldplay,0.0664
r03,yume,0.0934
r04,astra,0.3447
r04,matrixgame,0.4518
r04,minwm,0.2107
r04,ours_16node,0.2645
r04,ours_4node,0.2383
r04,ours_noadaln,0.3352
r04,ours_noatok,0.3108
r04,ours_nocritic,0.2595
r04,ours_pca2,0.2265
r04,ours_pca4,0.3344
r04,ours_pca8,0.2567
r04,worldcam,0.3115
r04,worldplay,0.0874
r04,yume,0.2679
r05,astra,0.2168
r05,matrixgame,0.3387
r05,minwm,0.1315
r05,ours_16node,0.1704
r05,ours_4node,0.192
r05,ours_noadaln,0.2309
r05,ours_noatok,0.189
r05,ours_nocritic,0.1876
r05,ours_pca2,0.2172
r05,ours_pca4,0.1516
r05,ours_pca8,0.1905
r05,worldcam,0.8743
r05,worldplay,0.1005
r05,yume,0.1133
r06,astra,0.1852
r06,matrixgame,0.6105
r06,minwm,0.0751
r06,ours_16node,0.0339
r06,ours_4node,0.0373
r06,ours_noadaln,0.2124
r06,ours_noatok,0.05
r06,ours_nocritic,0.0915
r06,ours_pca2,0.1168
r06,ours_pca4,0.0378
r06,ours_pca8,0.0899
r06,worldcam,0.3813
r06,worldplay,0.0214
r06,yume,0.2084
r07,astra,0.6094
r07,matrixgame,0.6647
r07,minwm,0.0659
r07,ours_16node,0.1227
r07,ours_4node,0.1071
r07,ours_noadaln,0.2752
r07,ours_noatok,0.1035
r07,ours_nocritic,0.1868
r07,ours_pca2,0.115
r07,ours_pca4,0.1448
r07,ours_pca8,0.1779
r07,worldcam,0.4277
r07,worldplay,0.0451
r07,yume,0.2948
r08,astra,0.2692
r08,matrixgame,0.5465
r08,minwm,0.2486
r08,ours_16node,0.0864
r08,ours_4node,0.0945
r08,ours_noadaln,0.2336
r08,ours_noatok,0.0765
r08,ours_nocritic,0.1635
r08,ours_pca2,0.094
r08,ours_pca4,0.0823
r08,ours_pca8,0.0632
r08,worldcam,0.4465
r08,worldplay,0.0993
r08,yume,0.158
r09,astra,0.6663
r09,matrixgame,0.64
r09,minwm,0.2021
r09,ours_16node,0.0882
r09,ours_4node,0.1088
r09,ours_noadaln,0.178
r09,ours_noatok,0.0856
r09,ours_nocritic,0.129
r09,ours_pca2,0.1007
r09,ours_pca4,0.0846
r09,ours_pca8,0.1044
r09,worldcam,0.6465
r09,worldplay,0.1458
r09,yume,0.4721
r10,astra,0.1222
r10,matrixgame,0.4053
r10,minwm,0.0737
r10,ours_16node,0.0353
r10,ours_4node,0.0377
r10,ours_noadaln,0.2154
r10,ours_noatok,0.0353
r10,ours_nocritic,0.0337
r10,ours_pca2,0.0383
r10,ours_pca4,0.0423
r10,ours_pca8,0.0369
r10,worldcam,0.1141
r10,worldplay,0.0244
r10,yume,0.4758
r11,astra,0.6949
r11,matrixgame,0.5117
r11,minwm,0.3425
r11,ours_16node,0.0371
r11,ours_4node,0.0451
r11,ours_noadaln,0.0432
r11,ours_noatok,0.0419
r11,ours_nocritic,0.0395
r11,ours_pca2,0.0925
r11,ours_pca4,0.0401
r11,ours_pca8,0.0425
r11,worldcam,0.4729
r11,worldplay,0.0323
r11,yume,0.1589
r12,astra,0.1348
r12,matrixgame,0.5274
r12,minwm,0.1
r12,ours_16node,0.1852
r12,ours_4node,0.1683
r12,ours_noadaln,0.3011
r12,ours_noatok,0.1586
r12,ours_nocritic,0.1797
r12,ours_pca2,0.1463
r12,ours_pca4,0.1402
r12,ours_pca8,0.1351
r12,worldcam,0.2801
r12,worldplay,0.0883
r12,yume,0.0566
r13,astra,0.628
r13,matrixgame,0.7365
r13,minwm,0.1532
r13,ours_16node,0.1897
r13,ours_4node,0.1381
r13,ours_noadaln,0.2757
r13,ours_noatok,0.1195
r13,ours_nocritic,0.2191
r13,ours_pca2,0.1526
r13,ours_pca4,0.1248
r13,ours_pca8,0.1136
r13,worldcam,0.2475
r13,worldplay,0.0583
r13,yume,0.2638
r14,astra,0.0927
r14,matrixgame,0.541
r14,minwm,0.0532
r14,ours_16node,0.0324
r14,ours_4node,0.0324
r14,ours_noadaln,0.1895
r14,ours_noatok,0.0323
r14,ours_nocritic,0.128
r14,ours_pca2,0.0399
r14,ours_pca4,0.032
r14,ours_pca8,0.028
r14,worldcam,0.2626
r14,worldplay,0.0315
r14,yume,0.3673
r15,astra,0.1034
r15,matrixgame,0.3996
r15,minwm,0.2833
r15,ours_16node,0.0552
r15,ours_4node,0.0457
r15,ours_noadaln,0.1053
r15,ours_noatok,0.0376
r15,ours_nocritic,0.0448
r15,ours_pca2,0.0333
r15,ours_pca4,0.049
r15,ours_pca8,0.0591
r15,worldcam,0.1415
r15,worldplay,0.0683
r15,yume,0.0404
r16,astra,0.4773
r16,matrixgame,0.434
r16,minwm,0.142
r16,ours_16node,0.0629
r16,ours_4node,0.0696
r16,ours_noadaln,0.1605
r16,ours_noatok,0.0665
r16,ours_nocritic,0.093
r16,ours_pca2,0.0786
r16,ours_pca4,0.0646
r16,ours_pca8,0.0636
r16,worldcam,0.1867
r16,worldplay,0.1219
r16,yume,0.273
r17,astra,0.5619
r17,matrixgame,0.3948
r17,minwm,0.1475
r17,ours_16node,0.1056
r17,ours_4node,0.1013
r17,ours_noadaln,0.1195
r17,ours_noatok,0.094
r17,ours_nocritic,0.1059
r17,ours_pca2,0.1124
r17,ours_pca4,0.0964
r17,ours_pca8,0.1375
r17,worldcam,0.5074
r17,worldplay,0.0334
r17,yume,0.1665
r18,astra,0.3004
r18,matrixgame,0.4534
r18,minwm,0.0946
r18,ours_16node,0.0316
r18,ours_4node,0.0433
r18,ours_noadaln,0.0421
r18,ours_noatok,0.0386
r18,ours_nocritic,0.0339
r18,ours_pca2,0.0376
r18,ours_pca4,0.0296
r18,ours_pca8,0.0304
r18,worldcam,0.2047
r18,worldplay,0.0891
r18,yume,0.4822
r19,astra,0.1816
r19,matrixgame,0.2879
r19,minwm,0.0909
r19,ours_16node,0.0795
r19,ours_4node,0.0565
r19,ours_noadaln,0.0712
r19,ours_noatok,0.0462
r19,ours_nocritic,0.0613
r19,ours_pca2,0.0519
r19,ours_pca4,0.0976
r19,ours_pca8,0.0641
r19,worldcam,0.1701
r19,worldplay,0.0711
r19,yume,0.1927
r20,astra,0.2211
r20,matrixgame,0.412
r20,minwm,0.1359
r20,ours_16node,0.0774
r20,ours_4node,0.0703
r20,ours_noadaln,0.3834
r20,ours_noatok,0.0714
r20,ours_nocritic,0.0749
r20,ours_pca2,0.0706
r20,ours_pca4,0.0655
r20,ours_pca8,0.0731
r20,worldcam,0.2963
r20,worldplay,0.0283
r20,yume,0.1262
r21,astra,0.6701
r21,matrixgame,0.5064
r21,minwm,0.4955
r21,ours_16node,0.1893
r21,ours_4node,0.3533
r21,ours_noadaln,0.6652
r21,ours_noatok,0.2018
r21,ours_nocritic,0.1452
r21,ours_pca2,0.4349
r21,ours_pca4,0.5116
r21,ours_pca8,0.4562
r21,worldcam,0.4683
r21,worldplay,0.2356
r21,yume,0.2714
r22,astra,0.0859
r22,matrixgame,0.5888
r22,minwm,0.0692
r22,ours_16node,0.046
r22,ours_4node,0.0417
r22,ours_noadaln,0.1513
r22,ours_noatok,0.0456
r22,ours_nocritic,0.0404
r22,ours_pca2,0.0435
r22,ours_pca4,0.043
r22,ours_pca8,0.0415
r22,worldcam,0.2343
r22,worldplay,0.0444
r22,yume,0.3137
r23,astra,0.1896
r23,matrixgame,0.4922
r23,minwm,0.2787
r23,ours_16node,0.1058
r23,ours_4node,0.1033
r23,ours_noadaln,0.3392
r23,ours_noatok,0.0997
r23,ours_nocritic,0.183
r23,ours_pca2,0.1162
r23,ours_pca4,0.0941
r23,ours_pca8,0.1606
r23,worldcam,0.3846
r23,worldplay,0.0212
r23,yume,0.0688
r24,astra,0.1905
r24,matrixgame,0.5002
r24,minwm,0.0913
r24,ours_16node,0.0679
r24,ours_4node,0.1159
r24,ours_noadaln,0.2015
r24,ours_noatok,0.0622
r24,ours_nocritic,0.0828
r24,ours_pca2,0.0623
r24,ours_pca4,0.0594
r24,ours_pca8,0.0612
r24,worldcam,0.1241
r24,worldplay,0.0429
r24,yume,0.2941
r25,astra,0.8736
r25,matrixgame,0.3091
r25,minwm,0.6577
r25,ours_16node,0.585
r25,ours_4node,0.5597
r25,ours_noadaln,0.6081
r25,ours_noatok,0.5431
r25,ours_nocritic,0.5612
r25,ours_pca2,0.5732
r25,ours_pca4,0.5989
r25,ours_pca8,0.6001
r25,worldcam,0.507
r25,worldplay,0.9294
r25,yume,0.0954
r26,astra,0.4913
r26,matrixgame,0.541
r26,minwm,0.2145
r26,ours_16node,0.1419
r26,ours_4node,0.1119
r26,ours_noadaln,0.4659
r26,ours_noatok,0.1124
