model,scene,p_style,p_imp
pca8,0,0.0,0.0
pca8,1,0.0,0.0
pca8,2,0.0,0.0
pca8,3,0.0,0.0
pca8,4,0.0,0.0001
pca8,5,0.0,0.0
pca8,6,0.0,0.0
pca8,7,0.0,0.0
pca8,8,0.0,0.0
pca8,9,0.0,0.0
pca8,10,0.0,0.0
pca8,11,0.0,0.0
pca8,12,0.0,0.0
pca8,13,0.0,0.0
pca8,14,0.0,0.0
pca8,15,0.0,0.0
pca8,16,0.0,0.0
pca8,17,0.0,0.0
pca8,18,0.0,0.0
pca8,19,0.0,0.0
pca8,20,0.0,0.0
pca8,21,0.0052,0.0019
pca8,22,0.0,0.0
pca8,23,0.0,0.0
pca8,24,0.0,0.0
pca8,25,0.0086,0.0002
pca8,26,0.0,0.0
pca8,27,0.0,0.0
pca8,28,0.0,0.0
pca8,29,0.0,0.0
pca8,30,0.011,0.0019
pca8,31,0.0,0.0
nocritic,0,0.0,0.0
nocritic,1,0.0,0.0
nocritic,2,0.0,0.0
nocritic,3,0.0,0.0
nocritic,4,0.0,0.0002
nocritic,5,0.0,0.0
nocritic,6,0.0,0.0
nocritic,7,0.0,0.0
nocritic,8,0.0,0.0
nocritic,9,0.0,0.0
nocritic,10,0.0,0.0
nocritic,11,0.0,0.0
nocritic,12,0.0,0.0
nocritic,13,0.0,0.0
nocritic,14,0.0,0.0
nocritic,15,0.0,0.0
nocritic,16,0.0,0.0
nocritic,17,0.0,0.0
nocritic,18,0.0,0.0
nocritic,19,0.0,0.0
nocritic,20,0.0,0.0
nocritic,21,0.0,0.0
nocritic,22,0.0,0.0
nocritic,23,0.0,0.0
nocritic,24,0.0,0.0
nocritic,25,0.0015,0.0001
nocritic,26,0.0012,0.0002
nocritic,27,0.0,0.0
nocritic,28,0.0,0.0
nocritic,29,0.0,0.0
nocritic,30,0.0001,0.0
nocritic,31,0.0,0.0
