scene,model,dino_drift
r00_B,ours_nocritic,0.0525
r00_BL,ours_nocritic,0.0859
r00_BR,ours_nocritic,0.1581
r00_F,ours_nocritic,0.1347
r00_FL,ours_nocritic,0.1688
r00_FR,ours_nocritic,0.1468
r00_L,ours_nocritic,0.0407
r00_R,ours_nocritic,0.1906
r01_B,ours_nocritic,0.1031
r01_BL,ours_nocritic,0.0882
r01_BR,ours_nocritic,0.0936
r01_F,ours_nocritic,0.1082
r01_FL,ours_nocritic,0.1088
r01_FR,ours_nocritic,0.1146
r01_L,ours_nocritic,0.0988
r01_R,ours_nocritic,0.2336
r02_B,ours_nocritic,0.0657
r02_BL,ours_nocritic,0.0706
r02_BR,ours_nocritic,0.0827
r02_F,ours_nocritic,0.0751
r02_FL,ours_nocritic,0.1133
r02_FR,ours_nocritic,0.0782
r02_L,ours_nocritic,0.0848
r02_R,ours_nocritic,0.0769
r03_B,ours_nocritic,0.0679
r03_BL,ours_nocritic,0.1281
r03_BR,ours_nocritic,0.563
r03_F,ours_nocritic,0.063
r03_FL,ours_nocritic,0.0905
r03_FR,ours_nocritic,0.126
r03_L,ours_nocritic,0.0654
r03_R,ours_nocritic,0.0606
r04_B,ours_nocritic,0.2618
r04_BL,ours_nocritic,0.2405
r04_BR,ours_nocritic,0.2434
r04_F,ours_nocritic,0.2652
r04_FL,ours_nocritic,0.2699
r04_FR,ours_nocritic,0.2554
r04_L,ours_nocritic,0.2275
r04_R,ours_nocritic,0.2456
r05_B,ours_nocritic,0.1847
r05_BL,ours_nocritic,0.2168
r05_BR,ours_nocritic,0.2292
r05_F,ours_nocritic,0.1559
r05_FL,ours_nocritic,0.1726
r05_FR,ours_nocritic,0.1805
r05_L,ours_nocritic,0.1702
r05_R,ours_nocritic,0.1899
r06_B,ours_nocritic,0.1028
r06_BL,ours_nocritic,0.1074
r06_BR,ours_nocritic,0.1887
r06_F,ours_nocritic,0.1388
r06_FL,ours_nocritic,0.1377
r06_FR,ours_nocritic,0.1297
r06_L,ours_nocritic,0.1005
r06_R,ours_nocritic,0.093
r07_B,ours_nocritic,0.2073
r07_BL,ours_nocritic,0.2008
r07_BR,ours_nocritic,0.4961
r07_F,ours_nocritic,0.191
r07_FL,ours_nocritic,0.1908
r07_FR,ours_nocritic,0.2273
r07_L,ours_nocritic,0.1867
r07_R,ours_nocritic,0.3971
r08_B,ours_nocritic,0.1231
r08_BL,ours_nocritic,0.1695
r08_BR,ours_nocritic,0.1484
r08_F,ours_nocritic,0.1471
r08_FL,ours_nocritic,0.1609
r08_FR,ours_nocritic,0.1478
r08_L,ours_nocritic,0.1458
r08_R,ours_nocritic,0.1672
r09_B,ours_nocritic,0.1286
r09_BL,ours_nocritic,0.1436
r09_BR,ours_nocritic,0.1278
r09_F,ours_nocritic,0.1401
r09_FL,ours_nocritic,0.1303
r09_FR,ours_nocritic,0.1339
r09_L,ours_nocritic,0.121
r09_R,ours_nocritic,0.1165
r10_B,ours_nocritic,0.0364
r10_BL,ours_nocritic,0.0826
r10_BR,ours_nocritic,0.1496
r10_F,ours_nocritic,0.0357
r10_FL,ours_nocritic,0.0729
r10_FR,ours_nocritic,0.128
r10_L,ours_nocritic,0.0748
r10_R,ours_nocritic,0.035
r11_B,ours_nocritic,0.0485
r11_BL,ours_nocritic,0.0496
r11_BR,ours_nocritic,0.0478
r11_F,ours_nocritic,0.0542
r11_FL,ours_nocritic,0.0502
r11_FR,ours_nocritic,0.0467
r11_L,ours_nocritic,0.0523
r11_R,ours_nocritic,0.0488
r12_B,ours_nocritic,0.2137
