scene,model,p_style,p_novel,p_uncanny
r00_B,ours_nocritic,0.0,0.0,0.0
r00_BL,ours_nocritic,0.0,0.0,0.0
r00_BR,ours_nocritic,0.0,0.0004,0.0
r00_F,ours_nocritic,0.0,0.0,0.0
r00_FL,ours_nocritic,0.0,0.0,0.0
r00_FR,ours_nocritic,0.0,0.0001,0.0
r00_L,ours_nocritic,0.0,0.0,0.0
r00_R,ours_nocritic,0.0,0.9766,0.0032
r01_B,ours_nocritic,0.0,0.0,0.0
r01_BL,ours_nocritic,0.0,0.0,0.0
r01_BR,ours_nocritic,0.0,0.0002,0.0
r01_F,ours_nocritic,0.0,0.0,0.0
r01_FL,ours_nocritic,0.0,0.0,0.0
r01_FR,ours_nocritic,0.0,0.0,0.0
r01_L,ours_nocritic,0.0,0.0,0.0
r01_R,ours_nocritic,0.0,0.0002,0.0
r02_B,ours_nocritic,0.0,0.0,0.0
r02_BL,ours_nocritic,0.0,0.0,0.0
r02_BR,ours_nocritic,0.0,0.0,0.0
r02_F,ours_nocritic,0.0,0.0,0.0
r02_FL,ours_nocritic,0.0,0.0,0.0
r02_FR,ours_nocritic,0.0,0.0,0.0
r02_L,ours_nocritic,0.0,0.0,0.0
r02_R,ours_nocritic,0.0,0.0,0.0
r03_B,ours_nocritic,0.0,0.0,0.0
r03_BL,ours_nocritic,0.0,0.0,0.0
r03_BR,ours_nocritic,0.9609,0.011,1.0
r03_F,ours_nocritic,0.0,0.0,0.0
r03_FL,ours_nocritic,0.0,0.0,0.0
r03_FR,ours_nocritic,0.0,0.0,0.0
r03_L,ours_nocritic,0.0,0.0,0.0
r03_R,ours_nocritic,0.0,0.0,0.0
r04_B,ours_nocritic,0.0,0.0,0.0
r04_BL,ours_nocritic,0.0,0.0,0.0
r04_BR,ours_nocritic,0.0,0.0,0.0
r04_F,ours_nocritic,0.0,0.0,0.0
r04_FL,ours_nocritic,0.0,0.0,0.0004
r04_FR,ours_nocritic,0.0,0.0,0.0003
r04_L,ours_nocritic,0.0,0.0,0.0001
r04_R,ours_nocritic,0.0,0.0,0.0003
r05_B,ours_nocritic,0.0,0.0,0.0
r05_BL,ours_nocritic,0.0,0.0,0.0
r05_BR,ours_nocritic,0.0,0.0,0.0
r05_F,ours_nocritic,0.0,0.0,0.0
r05_FL,ours_nocritic,0.0,0.0,0.0
r05_FR,ours_nocritic,0.0,0.0,0.0
r05_L,ours_nocritic,0.0,0.0,0.0
r05_R,ours_nocritic,0.0,0.0,0.0
r06_B,ours_nocritic,0.0,0.0,0.0
r06_BL,ours_nocritic,0.0,0.0,0.0
r06_BR,ours_nocritic,0.0,0.0,0.0
r06_F,ours_nocritic,0.0,0.0,0.0
r06_FL,ours_nocritic,0.0,0.0001,0.0
r06_FR,ours_nocritic,0.0,0.0,0.0
r06_L,ours_nocritic,0.0,0.0,0.0
r06_R,ours_nocritic,0.0,0.0,0.0
r07_B,ours_nocritic,0.0,0.0,0.0
r07_BL,ours_nocritic,0.0,0.0,0.0
r07_BR,ours_nocritic,0.0,0.0,0.0002
