scene,model,p_style,p_novel,p_uncanny
r00_BL,ours_pca8,0.0003,0.0015,0.011
r00_B,ours_pca8,0.0,0.9961,0.0086
r00_BR,ours_pca8,0.2227,1.0,1.0
r00_FL,ours_pca8,0.0,0.0,0.0
r00_F,ours_pca8,0.0,0.0025,0.0001
r00_FR,ours_pca8,0.0,0.2695,0.0015
r00_L,ours_pca8,0.9062,1.0,0.9922
r00_R,ours_pca8,0.6211,1.0,0.9922
r01_BL,ours_pca8,0.0,0.0002,0.0
r01_B,ours_pca8,0.0,0.0003,0.0
r01_BR,ours_pca8,0.0229,0.0229,0.0474
r01_FL,ours_pca8,0.0,0.0,0.0
r01_F,ours_pca8,0.0,0.0002,0.0
r01_FR,ours_pca8,0.0001,0.0009,0.0086
r01_L,ours_pca8,0.0,0.8789,0.0009
r01_R,ours_pca8,0.0,0.0032,0.0003
r02_BL,ours_pca8,0.0293,1.0,0.9766
r02_B,ours_pca8,0.0001,0.6211,0.0015
r02_BR,ours_pca8,0.0229,1.0,0.9883
r02_FL,ours_pca8,0.0,0.0001,0.0004
r02_F,ours_pca8,0.0,0.0,0.0757
r02_FR,ours_pca8,0.8164,0.0179,0.9961
r02_L,ours_pca8,0.0015,0.9961,0.0293
r02_R,ours_pca8,0.1191,0.9414,0.7773
r03_BL,ours_pca8,0.0003,0.0229,0.0374
r03_B,ours_pca8,0.0229,0.0052,0.8516
r03_BR,ours_pca8,0.6797,0.0601,0.9688
r03_FL,ours_pca8,0.8516,0.0,0.9922
r03_F,ours_pca8,0.9922,0.0,1.0
r03_FR,ours_pca8,0.0086,0.0,0.5625
r03_L,ours_pca8,0.0229,0.0,0.9258
r03_R,ours_pca8,0.0032,0.0179,0.1826
