ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note,dur_diff_7k_minus_2k
20240410090720,front,2683.416,2683.45,0.0339999999996507,True,1.0,True,frodobots_data/output_rides_12/ride_29405_20240410090720/recordings/7cf39672134c6d7ebb690ea697251558_ride_29405__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410090720_front_camera.mp4,frodobots_data/output_rides_12/ride_29405_20240410090720,,0.033999999999650754
20240410110629,front,1701.816,1701.85,0.0339999999998781,True,1.0,True,frodobots_data/output_rides_12/ride_29439_20240410110629/recordings/b811e6460645c2a3bd954cbf572ddb17_ride_29439__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410110629_front_camera.mp4,frodobots_data/output_rides_12/ride_29439_20240410110629,,0.03399999999987813
20240411082137,front,387.766,387.8,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_12/ride_29765_20240411082137/recordings/e5cd55b9834808bb7815789b71858cf5_ride_29765__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240411082137_front_camera.mp4,frodobots_data/output_rides_12/ride_29765_20240411082137,,0.033999999999991815
20240411094101,front,1204.065999,1204.1,0.0340009999999892,True,4.0,True,frodobots_data/output_rides_12/ride_29791_20240411094101/recordings/c800067b634bfa45ec2221bcaf214ff6_ride_29791__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411094101_front_camera.mp4,frodobots_data/output_rides_12/ride_29791_20240411094101,,0.03400099999998929
20240411104459,front,549.716,549.75,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29807_20240411104459/recordings/6ae349487b42411ba4f8758f6c7e5dcb_ride_29807__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411104459_front_camera.mp4,frodobots_data/output_rides_12/ride_29807_20240411104459,,0.033999999999991815
20240411111101,front,351.866,351.9,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29812_20240411111101/recordings/496c5e2d4742983be5e605806c4cf7c1_ride_29812__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411111101_front_camera.mp4,frodobots_data/output_rides_12/ride_29812_20240411111101,,0.033999999999991815
20240411132907,front,308.916,308.95,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29827_20240411132907/recordings/e173443457490e449520a79faa626b6a_ride_29827__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411132907_front_camera.mp4,frodobots_data/output_rides_12/ride_29827_20240411132907,,0.033999999999991815
20240411145720,front,372.016,372.05,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_12/ride_29837_20240411145720/recordings/dc2e68c5d24cad64f0c26cb9c882519d_ride_29837__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411145720_front_camera.mp4,frodobots_data/output_rides_12/ride_29837_20240411145720,,0.033999999999991815
20240411150648,front,370.216,370.25,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29839_20240411150648/recordings/0d5cf006ea4021d0f43fffa0d51107aa_ride_29839__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411150648_front_camera.mp4,frodobots_data/output_rides_12/ride_29839_20240411150648,,0.033999999999991815
20240411154932,front,565.316,565.35,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29849_20240411154932/recordings/a0e5d420064157f4de9bfcbc8f0a5b08_ride_29849__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411154932_front_camera.mp4,frodobots_data/output_rides_12/ride_29849_20240411154932,,0.033999999999991815
