scene,model,consensus_inl
r00_B,astra,1166
r00_B,matrixgame,109
r00_B,minwm,795
r00_B,worldcam,910
r00_B,worldplay,274
r00_B,yume,602
r00_B,ours_pca8,537
r00_B,ours_pca4,522
r00_B,ours_pca2,441
r00_B,ours_16node,483
r00_B,ours_4node,445
r00_B,ours_noatok,537
r00_B,ours_noadaln,755
r00_BL,astra,14
r00_BL,matrixgame,13
r00_BL,minwm,474
r00_BL,worldcam,15
r00_BL,worldplay,27
r00_BL,yume,103
r00_BL,ours_pca8,200
r00_BL,ours_pca4,204
r00_BL,ours_pca2,207
r00_BL,ours_16node,273
r00_BL,ours_4node,22
r00_BL,ours_noatok,194
r00_BL,ours_noadaln,724
r00_BR,astra,20
r00_BR,matrixgame,15
r00_BR,minwm,217
r00_BR,worldcam,19
r00_BR,worldplay,17
r00_BR,yume,41
r00_BR,ours_pca8,588
r00_BR,ours_pca4,588
r00_BR,ours_pca2,439
r00_BR,ours_16node,475
r00_BR,ours_4node,304
r00_BR,ours_noatok,426
r00_BR,ours_noadaln,189
r00_F,astra,663
r00_F,matrixgame,74
r00_F,minwm,897
r00_F,worldcam,550
r00_F,worldplay,338
r00_F,yume,21
r00_F,ours_pca8,744
r00_F,ours_pca4,757
r00_F,ours_pca2,457
r00_F,ours_16node,757
r00_F,ours_4node,692
r00_F,ours_noatok,671
r00_F,ours_noadaln,753
r00_FL,astra,151
r00_FL,matrixgame,15
r00_FL,minwm,466
r00_FL,worldcam,16
r00_FL,worldplay,16
r00_FL,yume,128
r00_FL,ours_pca8,298
r00_FL,ours_pca4,298
r00_FL,ours_pca2,231
r00_FL,ours_16node,226
r00_FL,ours_4node,231
r00_FL,ours_noatok,199
r00_FL,ours_noadaln,742
r00_FR,astra,18
r00_FR,matrixgame,17
r00_FR,minwm,219
r00_FR,worldcam,15
r00_FR,worldplay,20
r00_FR,yume,15
r00_FR,ours_pca8,572
r00_FR,ours_pca4,422
r00_FR,ours_pca2,373
r00_FR,ours_16node,523
r00_FR,ours_4node,572
r00_FR,ours_noatok,368
r00_FR,ours_noadaln,511
r00_L,astra,78
r00_L,matrixgame,13
r00_L,minwm,383
r00_L,worldcam,15
r00_L,worldplay,17
