scene,model,static_inl,static
r00_B,astra,1290,1
r00_B,matrixgame,85,0
r00_B,minwm,873,1
r00_B,worldcam,1208,1
r00_B,worldplay,311,0
r00_B,yume,801,1
r00_B,ours_pca8,347,0
r00_B,ours_pca4,364,0
r00_B,ours_pca2,408,0
r00_B,ours_16node,430,0
r00_B,ours_4node,372,0
r00_B,ours_noatok,378,0
r00_B,ours_noadaln,735,1
r00_BL,astra,16,0
r00_BL,matrixgame,11,0
r00_BL,minwm,458,0
r00_BL,worldcam,15,0
r00_BL,worldplay,14,0
r00_BL,yume,129,0
r00_BL,ours_pca8,128,0
r00_BL,ours_pca4,132,0
r00_BL,ours_pca2,204,0
r00_BL,ours_16node,265,0
r00_BL,ours_4node,12,0
r00_BL,ours_noatok,132,0
r00_BL,ours_noadaln,728,1
r00_BR,astra,16,0
r00_BR,matrixgame,13,0
r00_BR,minwm,220,0
r00_BR,worldcam,6,0
r00_BR,worldplay,4,0
r00_BR,yume,53,0
r00_BR,ours_pca8,311,0
r00_BR,ours_pca4,229,0
r00_BR,ours_pca2,272,0
r00_BR,ours_16node,333,0
r00_BR,ours_4node,169,0
r00_BR,ours_noatok,163,0
r00_BR,ours_noadaln,178,0
r00_F,astra,693,1
r00_F,matrixgame,36,0
r00_F,minwm,927,1
r00_F,worldcam,691,1
r00_F,worldplay,364,0
r00_F,yume,16,0
r00_F,ours_pca8,378,0
r00_F,ours_pca4,399,0
r00_F,ours_pca2,406,0
r00_F,ours_16node,529,0
r00_F,ours_4node,355,0
r00_F,ours_noatok,399,0
r00_F,ours_noadaln,768,1
r00_FL,astra,172,0
r00_FL,matrixgame,18,0
r00_FL,minwm,448,0
r00_FL,worldcam,15,0
r00_FL,worldplay,5,0
r00_FL,yume,121,0
r00_FL,ours_pca8,227,0
r00_FL,ours_pca4,126,0
r00_FL,ours_pca2,213,0
r00_FL,ours_16node,110,0
r00_FL,ours_4node,167,0
r00_FL,ours_noatok,121,0
r00_FL,ours_noadaln,755,1
r00_FR,astra,14,0
r00_FR,matrixgame,13,0
r00_FR,minwm,230,0
r00_FR,worldcam,11,0
r00_FR,worldplay,15,0
r00_FR,yume,17,0
r00_FR,ours_pca8,288,0
r00_FR,ours_pca4,256,0
r00_FR,ours_pca2,224,0
r00_FR,ours_16node,446,0
r00_FR,ours_4node,417,0
r00_FR,ours_noatok,259,0
r00_FR,ours_noadaln,435,0
r00_L,astra,44,0
r00_L,matrixgame,10,0
r00_L,minwm,357,0
r00_L,worldcam,14,0
r00_L,worldplay,12,0
r00_L,yume,195,0
r00_L,ours_pca8,24,0
r00_L,ours_pca4,57,0
r00_L,ours_pca2,95,0
r00_L,ours_16node,95,0
r00_L,ours_4node,17,0
r00_L,ours_noatok,16,0
r00_L,ours_noadaln,661,1
r00_R,astra,32,0
r00_R,matrixgame,9,0
r00_R,minwm,228,0
r00_R,worldcam,15,0
r00_R,worldplay,13,0
r00_R,yume,223,0
r00_R,ours_pca8,321,0
r00_R,ours_pca4,141,0
r00_R,ours_pca2,14,0
r00_R,ours_16node,288,0
r00_R,ours_4node,97,0
r00_R,ours_noatok,315,0
r00_R,ours_noadaln,308,0
r01_B,astra,642,1
r01_B,matrixgame,31,0
r01_B,minwm,1075,1
r01_B,worldcam,472,0
r01_B,worldplay,27,0
r01_B,yume,170,0
r01_B,ours_pca8,543,0
r01_B,ours_pca4,900,1
r01_B,ours_pca2,711,1
r01_B,ours_16node,527,0
r01_B,ours_4node,818,1
r01_B,ours_noatok,803,1
r01_B,ours_noadaln,782,1
r01_BL,astra,97,0
r01_BL,matrixgame,6,0
r01_BL,minwm,672,1
r01_BL,worldcam,18,0
r01_BL,worldplay,14,0
r01_BL,yume,12,0
r01_BL,ours_pca8,379,0
r01_BL,ours_pca4,393,0
r01_BL,ours_pca2,532,0
r01_BL,ours_16node,556,0
r01_BL,ours_4node,198,0
r01_BL,ours_noatok,540,0
r01_BL,ours_noadaln,809,1
r01_BR,astra,13,0
r01_BR,matrixgame,2,0
r01_BR,minwm,735,1
r01_BR,worldcam,12,0
r01_BR,worldplay,13,0
r01_BR,yume,14,0
r01_BR,ours_pca8,237,0
r01_BR,ours_pca4,261,0
r01_BR,ours_pca2,498,0
r01_BR,ours_16node,113,0
r01_BR,ours_4node,164,0
r01_BR,ours_noatok,13,0
r01_BR,ours_noadaln,260,0
r01_F,astra,413,0
r01_F,matrixgame,21,0
r01_F,minwm,788,1
r01_F,worldcam,76,0
r01_F,worldplay,38,0
r01_F,yume,175,0
r01_F,ours_pca8,456,0
r01_F,ours_pca4,494,0
r01_F,ours_pca2,699,1
r01_F,ours_16node,727,1
r01_F,ours_4node,225,0
r01_F,ours_noatok,612,1
r01_F,ours_noadaln,807,1
r01_FL,astra,18,0
r01_FL,matrixgame,8,0
r01_FL,minwm,506,0
r01_FL,worldcam,13,0
r01_FL,worldplay,49,0
r01_FL,yume,176,0
r01_FL,ours_pca8,764,1
r01_FL,ours_pca4,641,1
r01_FL,ours_pca2,708,1
r01_FL,ours_16node,812,1
r01_FL,ours_4node,509,0
r01_FL,ours_noatok,640,1
r01_FL,ours_noadaln,766,1
r01_FR,astra,13,0
r01_FR,matrixgame,15,0
r01_FR,minwm,599,0
r01_FR,worldcam,12,0
r01_FR,worldplay,9,0
r01_FR,yume,11,0
r01_FR,ours_pca8,336,0
r01_FR,ours_pca4,74,0
r01_FR,ours_pca2,376,0
r01_FR,ours_16node,454,0
r01_FR,ours_4node,301,0
r01_FR,ours_noatok,399,0
r01_FR,ours_noadaln,383,0
r01_L,astra,201,0
r01_L,matrixgame,15,0
r01_L,minwm,557,0
r01_L,worldcam,13,0
r01_L,worldplay,14,0
r01_L,yume,81,0
r01_L,ours_pca8,503,0
r01_L,ours_pca4,451,0
r01_L,ours_pca2,11,0
r01_L,ours_16node,481,0
r01_L,ours_4node,189,0
r01_L,ours_noatok,694,1
r01_L,ours_noadaln,759,1
r01_R,astra,13,0
r01_R,matrixgame,10,0
r01_R,minwm,691,1
r01_R,worldcam,11,0
r01_R,worldplay,14,0
r01_R,yume,333,0
r01_R,ours_pca8,127,0
r01_R,ours_pca4,14,0
r01_R,ours_pca2,140,0
r01_R,ours_16node,168,0
r01_R,ours_4node,0,0
r01_R,ours_noatok,27,0
r01_R,ours_noadaln,310,0
r02_B,astra,14,0
r02_B,matrixgame,19,0
r02_B,minwm,388,0
r02_B,worldcam,1449,1
r02_B,worldplay,14,0
r02_B,yume,273,0
r02_B,ours_pca8,218,0
r02_B,ours_pca4,199,0
r02_B,ours_pca2,366,0
r02_B,ours_16node,256,0
r02_B,ours_4node,407,0
r02_B,ours_noatok,260,0
r02_B,ours_noadaln,125,0
r02_BL,astra,14,0
r02_BL,matrixgame,10,0
r02_BL,minwm,239,0
r02_BL,worldcam,12,0
r02_BL,worldplay,9,0
r02_BL,yume,28,0
r02_BL,ours_pca8,103,0
r02_BL,ours_pca4,74,0
r02_BL,ours_pca2,114,0
r02_BL,ours_16node,182,0
r02_BL,ours_4node,28,0
r02_BL,ours_noatok,217,0
r02_BL,ours_noadaln,250,0
r02_BR,astra,13,0
r02_BR,matrixgame,16,0
r02_BR,minwm,239,0
r02_BR,worldcam,12,0
r02_BR,worldplay,10,0
r02_BR,yume,8,0
r02_BR,ours_pca8,73,0
r02_BR,ours_pca4,64,0
r02_BR,ours_pca2,122,0
r02_BR,ours_16node,12,0
r02_BR,ours_4node,22,0
r02_BR,ours_noatok,13,0
r02_BR,ours_noadaln,14,0
r02_F,astra,17,0
r02_F,matrixgame,18,0
r02_F,minwm,292,0
r02_F,worldcam,575,0
r02_F,worldplay,9,0
r02_F,yume,350,0
r02_F,ours_pca8,174,0
r02_F,ours_pca4,28,0
r02_F,ours_pca2,82,0
r02_F,ours_16node,374,0
r02_F,ours_4node,76,0
r02_F,ours_noatok,154,0
r02_F,ours_noadaln,179,0
r02_FL,astra,32,0
r02_FL,matrixgame,11,0
r02_FL,minwm,234,0
r02_FL,worldcam,11,0
r02_FL,worldplay,10,0
r02_FL,yume,21,0
r02_FL,ours_pca8,184,0
r02_FL,ours_pca4,114,0
r02_FL,ours_pca2,76,0
r02_FL,ours_16node,133,0
r02_FL,ours_4node,26,0
r02_FL,ours_noatok,102,0
r02_FL,ours_noadaln,232,0
r02_FR,astra,14,0
r02_FR,matrixgame,13,0
r02_FR,minwm,259,0
r02_FR,worldcam,14,0
r02_FR,worldplay,12,0
r02_FR,yume,13,0
r02_FR,ours_pca8,28,0
r02_FR,ours_pca4,14,0
r02_FR,ours_pca2,53,0
r02_FR,ours_16node,174,0
r02_FR,ours_4node,15,0
r02_FR,ours_noatok,23,0
r02_FR,ours_noadaln,26,0
r02_L,astra,17,0
r02_L,matrixgame,0,0
r02_L,minwm,451,0
r02_L,worldcam,11,0
r02_L,worldplay,9,0
r02_L,yume,91,0
r02_L,ours_pca8,113,0
r02_L,ours_pca4,99,0
r02_L,ours_pca2,69,0
r02_L,ours_16node,77,0
r02_L,ours_4node,17,0
r02_L,ours_noatok,68,0
r02_L,ours_noadaln,235,0
