model,scene,direction,feature_valid,static_inliers,static,active
16node,r00_B,B,True,430,0,1
16node,r00_BL,BL,True,265,0,1
16node,r00_BR,BR,True,333,0,1
16node,r00_F,F,True,529,0,1
16node,r00_FL,FL,True,110,0,1
16node,r00_FR,FR,True,446,0,1
16node,r00_L,L,True,95,0,1
16node,r00_R,R,True,288,0,1
16node,r01_B,B,True,527,0,1
16node,r01_BL,BL,True,556,0,1
16node,r01_BR,BR,True,113,0,1
16node,r01_F,F,True,727,1,0
16node,r01_FL,FL,True,812,1,0
16node,r01_FR,FR,True,454,0,1
16node,r01_L,L,True,481,0,1
16node,r01_R,R,True,168,0,1
16node,r02_B,B,True,256,0,1
16node,r02_BL,BL,True,182,0,1
16node,r02_BR,BR,True,12,0,1
16node,r02_F,F,True,374,0,1
16node,r02_FL,FL,True,133,0,1
16node,r02_FR,FR,True,174,0,1
16node,r02_L,L,True,77,0,1
16node,r02_R,R,True,166,0,1
16node,r03_B,B,True,7,0,1
16node,r03_BL,BL,True,13,0,1
16node,r03_BR,BR,True,14,0,1
16node,r03_F,F,True,14,0,1
16node,r03_FL,FL,True,8,0,1
16node,r03_FR,FR,True,16,0,1
16node,r03_L,L,True,89,0,1
16node,r03_R,R,True,13,0,1
16node,r04_B,B,True,197,0,1
16node,r04_BL,BL,True,206,0,1
16node,r04_BR,BR,True,337,0,1
16node,r04_F,F,True,293,0,1
16node,r04_FL,FL,True,108,0,1
16node,r04_FR,FR,True,155,0,1
16node,r04_L,L,True,69,0,1
16node,r04_R,R,True,550,0,1
16node,r05_B,B,True,162,0,1
16node,r05_BL,BL,True,138,0,1
16node,r05_BR,BR,True,57,0,1
16node,r05_F,F,True,369,0,1
16node,r05_FL,FL,True,173,0,1
16node,r05_FR,FR,True,31,0,1
16node,r05_L,L,True,42,0,1
16node,r05_R,R,True,39,0,1
16node,r06_B,B,True,231,0,1
16node,r06_BL,BL,True,505,0,1
16node,r06_BR,BR,True,241,0,1
16node,r06_F,F,True,798,1,0
16node,r06_FL,FL,True,5,0,1
16node,r06_FR,FR,True,301,0,1
16node,r06_L,L,True,16,0,1
16node,r06_R,R,True,214,0,1
16node,r07_B,B,True,514,0,1
16node,r07_BL,BL,True,428,0,1
16node,r07_BR,BR,True,369,0,1
16node,r07_F,F,True,518,0,1
16node,r07_FL,FL,True,360,0,1
16node,r07_FR,FR,True,295,0,1
16node,r07_L,L,True,213,0,1
16node,r07_R,R,True,213,0,1
16node,r08_B,B,True,155,0,1
16node,r08_BL,BL,True,262,0,1
16node,r08_BR,BR,True,18,0,1
16node,r08_F,F,True,464,0,1
16node,r08_FL,FL,True,322,0,1
16node,r08_FR,FR,True,217,0,1
16node,r08_L,L,True,265,0,1
16node,r08_R,R,True,14,0,1
16node,r09_B,B,True,448,0,1
16node,r09_BL,BL,True,245,0,1
16node,r09_BR,BR,True,210,0,1
16node,r09_F,F,True,460,0,1
16node,r09_FL,FL,True,222,0,1
16node,r09_FR,FR,True,327,0,1
16node,r09_L,L,True,280,0,1
16node,r09_R,R,True,23,0,1
16node,r10_B,B,True,283,0,1
16node,r10_BL,BL,True,251,0,1
16node,r10_BR,BR,True,466,0,1
16node,r10_F,F,True,354,0,1
16node,r10_FL,FL,True,44,0,1
16node,r10_FR,FR,True,358,0,1
16node,r10_L,L,True,17,0,1
16node,r10_R,R,True,494,0,1
16node,r11_B,B,False,8,0,0
16node,r11_BL,BL,False,6,0,0
16node,r11_BR,BR,False,9,0,0
16node,r11_F,F,False,10,0,0
16node,r11_FL,FL,False,7,0,0
16node,r11_FR,FR,False,8,0,0
16node,r11_L,L,False,8,0,0
16node,r11_R,R,False,8,0,0
16node,r12_B,B,True,33,0,1
16node,r12_BL,BL,True,10,0,1
16node,r12_BR,BR,True,155,0,1
16node,r12_F,F,True,39,0,1
16node,r12_FL,FL,True,12,0,1
16node,r12_FR,FR,True,28,0,1
16node,r12_L,L,True,13,0,1
16node,r12_R,R,True,91,0,1
16node,r13_B,B,True,350,0,1
16node,r13_BL,BL,True,202,0,1
16node,r13_BR,BR,True,190,0,1
16node,r13_F,F,True,257,0,1
16node,r13_FL,FL,True,277,0,1
16node,r13_FR,FR,True,278,0,1
16node,r13_L,L,True,307,0,1
16node,r13_R,R,True,179,0,1
16node,r14_B,B,True,107,0,1
16node,r14_BL,BL,True,125,0,1
16node,r14_BR,BR,True,103,0,1
16node,r14_F,F,True,177,0,1
16node,r14_FL,FL,True,204,0,1
16node,r14_FR,FR,True,127,0,1
16node,r14_L,L,True,421,0,1
16node,r14_R,R,True,17,0,1
16node,r15_B,B,True,233,0,1
16node,r15_BL,BL,True,64,0,1
16node,r15_BR,BR,True,187,0,1
