scene,model,base_blur,end_blur,d_blur,x_blur,B
r00_B,astra,664.3,725.6,61.3,59.699999999999996,-59.699999999999996
r00_B,matrixgame,430.2,389.8,-40.4,-42.0,42.0
r00_B,minwm,703.3,704.9,1.6,0.0,-0.0
r00_B,worldcam,1010.7,1209.3,198.6,197.0,-197.0
r00_B,worldplay,761.0,862.5,101.5,99.9,-99.9
r00_B,yume,582.2,587.4,5.2,3.6,-3.6
r00_B,ours_pca8,743.7,623.8,-119.9,-121.5,121.5
r00_B,ours_pca4,954.2,993.5,39.2,37.6,-37.6
r00_B,ours_pca2,963.9,788.5,-175.4,-177.0,177.0
r00_B,ours_16node,871.6,732.5,-139.2,-140.79999999999998,140.79999999999998
r00_B,ours_4node,779.1,411.3,-367.8,-369.40000000000003,369.40000000000003
r00_B,ours_noatok,1032.1,1121.9,89.8,88.2,-88.2
r00_B,ours_noadaln,898.0,672.3,-225.7,-227.29999999999998,227.29999999999998
r00_BL,astra,590.7,1790.1,1199.4,1276.7,-1276.7
r00_BL,matrixgame,228.3,184.9,-43.4,33.9,-33.9
r00_BL,minwm,595.4,492.9,-102.4,-25.10000000000001,25.10000000000001
r00_BL,worldcam,781.7,583.3,-198.4,-121.10000000000001,121.10000000000001
r00_BL,worldplay,681.5,750.4,68.9,146.2,-146.2
r00_BL,yume,745.2,687.3,-58.0,19.299999999999997,-19.299999999999997
r00_BL,ours_pca8,677.2,458.3,-218.9,-141.60000000000002,141.60000000000002
r00_BL,ours_pca4,756.5,641.3,-115.2,-37.900000000000006,37.900000000000006
r00_BL,ours_pca2,855.9,778.7,-77.3,0.0,-0.0
r00_BL,ours_16node,724.3,705.1,-19.2,58.099999999999994,-58.099999999999994
r00_BL,ours_4node,528.8,240.3,-288.5,-211.2,211.2
r00_BL,ours_noatok,828.3,788.6,-39.7,37.599999999999994,-37.599999999999994
r00_BL,ours_noadaln,898.5,666.8,-231.8,-154.5,154.5
r00_BR,astra,616.5,365.1,-251.4,-57.400000000000006,57.400000000000006
r00_BR,matrixgame,176.1,166.7,-9.5,184.5,-184.5
r00_BR,minwm,550.6,438.6,-111.9,82.1,-82.1
r00_BR,worldcam,389.2,181.6,-207.5,-13.5,13.5
r00_BR,worldplay,630.2,389.2,-241.0,-47.0,47.0
r00_BR,yume,595.4,371.2,-224.2,-30.19999999999999,30.19999999999999
r00_BR,ours_pca8,759.8,773.7,13.9,207.9,-207.9
r00_BR,ours_pca4,867.7,670.7,-197.0,-3.0,3.0
r00_BR,ours_pca2,707.4,570.0,-137.4,56.599999999999994,-56.599999999999994
r00_BR,ours_16node,867.7,697.7,-170.0,24.0,-24.0
r00_BR,ours_4node,632.5,438.5,-194.0,0.0,-0.0
r00_BR,ours_noatok,869.4,807.2,-62.2,131.8,-131.8
r00_BR,ours_noadaln,552.5,333.9,-218.6,-24.599999999999994,24.599999999999994
r00_F,astra,648.5,642.3,-6.1,0.0,-0.0
r00_F,matrixgame,396.9,415.4,18.5,24.6,-24.6
r00_F,minwm,800.2,766.0,-34.2,-28.1,28.1
r00_F,worldcam,1026.4,973.8,-52.6,-46.5,46.5
r00_F,worldplay,811.6,755.1,-56.5,-50.4,50.4
r00_F,yume,214.3,320.0,105.7,111.8,-111.8
r00_F,ours_pca8,781.8,1016.3,234.5,240.6,-240.6
r00_F,ours_pca4,888.3,993.6,105.3,111.39999999999999,-111.39999999999999
r00_F,ours_pca2,681.9,671.0,-10.9,-4.800000000000001,4.800000000000001
r00_F,ours_16node,817.1,1426.2,609.1,615.2,-615.2
r00_F,ours_4node,652.5,432.7,-219.8,-213.70000000000002,213.70000000000002
r00_F,ours_noatok,775.0,954.3,179.3,185.4,-185.4
r00_F,ours_noadaln,897.8,652.4,-245.3,-239.20000000000002,239.20000000000002
r00_FL,astra,630.6,896.7,266.1,214.50000000000003,-214.50000000000003
r00_FL,matrixgame,361.6,126.4,-235.2,-286.8,286.8
r00_FL,minwm,659.5,597.8,-61.7,-113.30000000000001,113.30000000000001
r00_FL,worldcam,791.7,384.6,-407.1,-458.70000000000005,458.70000000000005
r00_FL,worldplay,666.5,651.5,-15.0,-66.6,66.6
r00_FL,yume,586.0,637.5,51.6,0.0,-0.0
r00_FL,ours_pca8,736.5,1662.4,925.9,874.3,-874.3
r00_FL,ours_pca4,738.5,1177.8,439.3,387.7,-387.7
r00_FL,ours_pca2,644.5,703.6,59.1,7.5,-7.5
r00_FL,ours_16node,737.4,1796.9,1059.6,1007.9999999999999,-1007.9999999999999
r00_FL,ours_4node,599.3,346.3,-253.0,-304.6,304.6
r00_FL,ours_noatok,633.5,791.4,157.9,106.30000000000001,-106.30000000000001
r00_FL,ours_noadaln,898.6,672.7,-225.9,-277.5,277.5
r00_FR,astra,521.9,270.4,-251.5,-66.9,66.9
r00_FR,matrixgame,234.2,122.3,-112.0,72.6,-72.6
r00_FR,minwm,786.2,723.9,-62.3,122.3,-122.3
r00_FR,worldcam,356.2,102.9,-253.2,-68.6,68.6
r00_FR,worldplay,645.0,441.8,-203.2,-18.599999999999994,18.599999999999994
r00_FR,yume,583.8,231.8,-352.0,-167.4,167.4
r00_FR,ours_pca8,726.8,839.6,112.8,297.4,-297.4
r00_FR,ours_pca4,684.3,687.9,3.6,188.2,-188.2
r00_FR,ours_pca2,534.6,336.2,-198.5,-13.900000000000006,13.900000000000006
r00_FR,ours_16node,779.1,1028.7,249.6,434.2,-434.2
r00_FR,ours_4node,534.2,290.6,-243.6,-59.0,59.0
r00_FR,ours_noatok,626.2,532.1,-94.1,90.5,-90.5
r00_FR,ours_noadaln,561.9,377.3,-184.6,0.0,-0.0
r00_L,astra,503.6,1132.0,628.4,650.4,-650.4
r00_L,matrixgame,435.2,162.7,-272.5,-250.5,250.5
r00_L,minwm,623.8,601.8,-22.0,0.0,-0.0
r00_L,worldcam,783.8,338.7,-445.2,-423.2,423.2
r00_L,worldplay,686.4,675.4,-11.0,11.0,-11.0
r00_L,yume,889.2,1207.5,318.3,340.3,-340.3
r00_L,ours_pca8,708.1,631.7,-76.4,-54.400000000000006,54.400000000000006
r00_L,ours_pca4,821.1,1033.1,212.0,234.0,-234.0
r00_L,ours_pca2,746.8,738.4,-8.4,13.6,-13.6
r00_L,ours_16node,821.3,1333.5,512.3,534.3,-534.3
r00_L,ours_4node,611.6,398.3,-213.3,-191.3,191.3
r00_L,ours_noatok,627.0,494.5,-132.5,-110.5,110.5
r00_L,ours_noadaln,899.0,659.2,-239.9,-217.9,217.9
r00_R,astra,374.4,424.0,49.6,202.1,-202.1
r00_R,matrixgame,249.8,84.9,-164.9,-12.400000000000006,12.400000000000006
r00_R,minwm,555.6,565.8,10.2,162.7,-162.7
r00_R,worldcam,431.8,262.5,-169.3,-16.80000000000001,16.80000000000001
r00_R,worldplay,654.6,342.8,-311.7,-159.2,159.2
r00_R,yume,798.0,677.4,-120.7,31.799999999999997,-31.799999999999997
r00_R,ours_pca8,484.8,492.4,7.6,160.1,-160.1
r00_R,ours_pca4,724.3,558.1,-166.2,-13.699999999999989,13.699999999999989
r00_R,ours_pca2,306.1,198.3,-107.8,44.7,-44.7
r00_R,ours_16node,801.9,727.4,-74.6,77.9,-77.9
r00_R,ours_4node,357.4,194.6,-162.8,-10.300000000000011,10.300000000000011
r00_R,ours_noatok,606.6,385.9,-220.7,-68.19999999999999,68.19999999999999
r00_R,ours_noadaln,557.2,404.8,-152.5,0.0,-0.0
r01_B,astra,432.8,519.4,86.5,-15.299999999999997,15.299999999999997
r01_B,matrixgame,256.3,341.1,84.8,-17.0,17.0
r01_B,minwm,597.3,699.1,101.8,0.0,-0.0
