scene,model,dino_drift
r00_B,astra,0.0892
r00_B,matrixgame,0.6071
r00_B,minwm,0.1168
r00_B,worldcam,0.4205
r00_B,worldplay,0.5268
r00_B,yume,0.2917
r00_B,ours_pca8,0.1887
r00_B,ours_pca4,0.2749
r00_B,ours_pca2,0.1366
r00_B,ours_16node,0.3135
r00_B,ours_4node,0.1824
r00_B,ours_noatok,0.2389
r00_B,ours_noadaln,0.1427
r00_BL,astra,0.7278
r00_BL,matrixgame,0.8342
r00_BL,minwm,0.169
r00_BL,worldcam,0.94
r00_BL,worldplay,0.5542
r00_BL,yume,0.5141
r00_BL,ours_pca8,0.27
r00_BL,ours_pca4,0.3953
r00_BL,ours_pca2,0.2719
r00_BL,ours_16node,0.1958
r00_BL,ours_4node,0.4363
r00_BL,ours_noatok,0.394
r00_BL,ours_noadaln,0.1783
r00_BR,astra,0.3406
r00_BR,matrixgame,0.7228
r00_BR,minwm,0.2769
r00_BR,worldcam,0.7423
r00_BR,worldplay,0.7266
r00_BR,yume,0.7047
r00_BR,ours_pca8,0.5436
r00_BR,ours_pca4,0.5436
r00_BR,ours_pca2,0.5528
r00_BR,ours_16node,0.6247
r00_BR,ours_4node,0.5742
r00_BR,ours_noatok,0.5911
r00_BR,ours_noadaln,0.636
r00_F,astra,0.1628
r00_F,matrixgame,0.5489
r00_F,minwm,0.1765
r00_F,worldcam,0.4455
r00_F,worldplay,0.5554
r00_F,yume,0.357
r00_F,ours_pca8,0.1202
r00_F,ours_pca4,0.1516
r00_F,ours_pca2,0.1746
r00_F,ours_16node,0.1737
r00_F,ours_4node,0.1446
r00_F,ours_noatok,0.147
r00_F,ours_noadaln,0.1439
r00_FL,astra,0.4108
r00_FL,matrixgame,0.8273
r00_FL,minwm,0.2269
r00_FL,worldcam,0.8706
r00_FL,worldplay,0.6095
r00_FL,yume,0.3614
r00_FL,ours_pca8,0.2157
r00_FL,ours_pca4,0.2574
r00_FL,ours_pca2,0.2095
r00_FL,ours_16node,0.2402
r00_FL,ours_4node,0.2241
r00_FL,ours_noatok,0.2689
r00_FL,ours_noadaln,0.1499
r00_FR,astra,0.6136
r00_FR,matrixgame,0.8426
r00_FR,minwm,0.2538
r00_FR,worldcam,0.7362
r00_FR,worldplay,0.649
r00_FR,yume,0.6482
r00_FR,ours_pca8,0.3376
r00_FR,ours_pca4,0.2702
r00_FR,ours_pca2,0.2734
r00_FR,ours_16node,0.2557
r00_FR,ours_4node,0.3419
r00_FR,ours_noatok,0.4414
r00_FR,ours_noadaln,0.3676
r00_L,astra,0.4127
r00_L,matrixgame,0.8539
r00_L,minwm,0.3172
r00_L,worldcam,0.7825
r00_L,worldplay,0.5753
r00_L,yume,0.3837
r00_L,ours_pca8,0.2894
r00_L,ours_pca4,0.4149
r00_L,ours_pca2,0.3545
r00_L,ours_16node,0.3886
r00_L,ours_4node,0.5245
r00_L,ours_noatok,0.3602
r00_L,ours_noadaln,0.1547
r00_R,astra,0.6264
r00_R,matrixgame,0.8751
r00_R,minwm,0.2983
r00_R,worldcam,0.8127
r00_R,worldplay,0.6616
r00_R,yume,0.4658
r00_R,ours_pca8,0.5191
r00_R,ours_pca4,0.6423
r00_R,ours_pca2,0.7103
r00_R,ours_16node,0.6691
r00_R,ours_4node,0.6519
r00_R,ours_noatok,0.5219
r00_R,ours_noadaln,0.514
r01_B,astra,0.2781
r01_B,matrixgame,0.55
r01_B,minwm,0.1234
r01_B,worldcam,0.5322
r01_B,worldplay,0.5729
r01_B,yume,0.2762
r01_B,ours_pca8,0.1792
r01_B,ours_pca4,0.1319
r01_B,ours_pca2,0.1841
r01_B,ours_16node,0.3305
r01_B,ours_4node,0.1883
r01_B,ours_noatok,0.1188
r01_B,ours_noadaln,0.2323
r01_BL,astra,0.3912
r01_BL,matrixgame,0.817
r01_BL,minwm,0.2693
r01_BL,worldcam,0.9169
r01_BL,worldplay,0.5347
r01_BL,yume,0.5688
r01_BL,ours_pca8,0.2059
r01_BL,ours_pca4,0.2905
r01_BL,ours_pca2,0.2576
r01_BL,ours_16node,0.2986
r01_BL,ours_4node,0.6275
r01_BL,ours_noatok,0.1843
r01_BL,ours_noadaln,0.1973
r01_BR,astra,0.5751
r01_BR,matrixgame,0.7064
r01_BR,minwm,0.2828
r01_BR,worldcam,0.8172
r01_BR,worldplay,0.8577
r01_BR,yume,0.6201
r01_BR,ours_pca8,0.4218
r01_BR,ours_pca4,0.3586
r01_BR,ours_pca2,0.2846
r01_BR,ours_16node,0.5548
r01_BR,ours_4node,0.4297
r01_BR,ours_noatok,0.4682
r01_BR,ours_noadaln,0.389
r01_F,astra,0.2063
r01_F,matrixgame,0.4935
r01_F,minwm,0.1791
r01_F,worldcam,0.6794
r01_F,worldplay,0.5538
r01_F,yume,0.3529
r01_F,ours_pca8,0.2209
r01_F,ours_pca4,0.2425
r01_F,ours_pca2,0.1699
r01_F,ours_16node,0.1737
r01_F,ours_4node,0.2638
r01_F,ours_noatok,0.1983
r01_F,ours_noadaln,0.2485
r01_FL,astra,0.5148
r01_FL,matrixgame,0.8729
r01_FL,minwm,0.163
r01_FL,worldcam,0.7253
r01_FL,worldplay,0.5675
r01_FL,yume,0.2944
r01_FL,ours_pca8,0.2616
r01_FL,ours_pca4,0.1864
r01_FL,ours_pca2,0.2289
r01_FL,ours_16node,0.2867
r01_FL,ours_4node,0.2686
r01_FL,ours_noatok,0.2313
r01_FL,ours_noadaln,0.2493
r01_FR,astra,0.7393
r01_FR,matrixgame,0.5893
r01_FR,minwm,0.2162
r01_FR,worldcam,0.8892
r01_FR,worldplay,0.9085
r01_FR,yume,0.5451
r01_FR,ours_pca8,0.2895
r01_FR,ours_pca4,0.5395
r01_FR,ours_pca2,0.3032
r01_FR,ours_16node,0.287
r01_FR,ours_4node,0.5103
r01_FR,ours_noatok,0.2572
r01_FR,ours_noadaln,0.4102
r01_L,astra,0.4281
r01_L,matrixgame,0.8091
r01_L,minwm,0.2596
r01_L,worldcam,0.8392
r01_L,worldplay,0.6397
r01_L,yume,0.4739
r01_L,ours_pca8,0.4974
r01_L,ours_pca4,0.5169
r01_L,ours_pca2,0.6475
r01_L,ours_16node,0.6162
r01_L,ours_4node,0.6036
r01_L,ours_noatok,0.4037
r01_L,ours_noadaln,0.1944
r01_R,astra,0.8069
r01_R,matrixgame,0.7365
r01_R,minwm,0.3016
