model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
matrixgame,0,F,-94.56,0.59,-239.9,0.6196,0.3368,-0.5688,-0.0072,0.1341,0.1226,0.6083,0.619
matrixgame,0,FR,-158.37,0.53,-1830.1,0.5094,0.9133,0.2534,0.6292,0.5267,-0.5444,-0.1795,0.5212
matrixgame,0,R,32.17,4.07,-1382.6,0.1946,0.9206,-0.186,0.5655,0.6752,-0.5883,-0.4955,0.1566
matrixgame,0,BR,80.89,3.9,-1197.1,-0.1364,0.8176,0.1004,-0.0216,0.2304,0.1543,-0.3335,-0.1003
matrixgame,0,B,32.16,0.02,132.9,-0.1784,-0.047,0.1731,-0.1636,-0.004,0.0231,-0.0351,-0.2228
matrixgame,0,BL,64.26,64.59,2201.9,-0.0485,-0.7914,-0.2756,-0.0572,0.4947,-0.4426,0.4642,-0.1779
matrixgame,0,L,-97.9,-27.11,1252.5,0.2779,-0.9402,-0.5534,-0.0394,0.3192,-0.5762,0.7019,-0.548
matrixgame,0,FL,-550.33,15.82,500.0,0.6469,-0.9294,-0.3622,-0.2443,0.8451,-0.3578,0.1546,0.2669
matrixgame,1,F,-339.12,-0.95,-421.2,0.721,-0.1633,-0.5877,0.5539,0.4473,-0.1144,-0.4097,0.6553
matrixgame,1,FR,-1350.09,-1.07,-2425.6,0.5455,0.9304,0.2604,0.8144,0.6292,-0.5141,-0.0002,0.7348
matrixgame,1,R,15.12,-2.96,-1603.0,0.25,0.9773,0.1414,0.8802,0.6477,-0.647,0.0391,0.4832
matrixgame,1,BR,35.04,21.79,-1635.6,-0.1997,0.8934,0.7295,0.5151,-0.241,0.1436,-0.422,-0.0813
matrixgame,1,B,73.04,0.94,393.2,-0.1706,0.0758,0.2404,-0.3288,-0.2956,0.2571,0.1348,-0.2174
matrixgame,1,BL,72.02,11.22,2162.1,-0.0104,-0.9477,-0.6074,-0.568,0.5328,-0.1582,0.3587,-0.2938
matrixgame,1,L,-130.23,18.97,1299.1,0.3865,-0.981,-0.807,0.0947,0.856,-0.6094,0.3995,-0.1344
matrixgame,1,FL,-2715.3,-21.04,393.0,0.7188,-0.9817,-0.7634,-0.0838,0.9525,-0.6718,0.6176,0.6543
matrixgame,2,F,-137.22,2.68,-282.5,0.3114,0.0285,-0.4455,0.3703,0.0176,0.3052,0.0048,0.3788
matrixgame,2,FR,-1603.8,0.42,-2489.8,0.3484,0.9569,0.5107,0.9031,0.6789,-0.6388,-0.0776,0.2608
matrixgame,2,R,-195.65,-1.57,-913.6,0.254,0.7686,-0.2621,0.7501,0.6594,-0.563,-0.3589,0.2513
matrixgame,2,BR,5.5,-10.82,-1702.0,-0.0932,0.8649,0.2257,0.4128,0.3043,-0.1326,-0.0532,0.1275
matrixgame,2,B,38.62,0.99,156.7,-0.1222,-0.0389,0.1076,-0.101,-0.107,0.0042,0.0237,-0.2198
matrixgame,2,BL,70.6,4.85,2087.6,-0.0061,-0.8659,-0.5714,-0.3864,0.4631,-0.1841,0.4274,-0.2391
matrixgame,2,L,-309.34,-15.49,1050.4,0.3306,-0.9389,-0.3028,0.248,0.237,-0.1474,0.7432,0.0575
matrixgame,2,FL,-448.72,-50.26,891.3,0.56,-0.8143,-0.2471,-0.1307,0.442,-0.2222,0.6339,0.4687
matrixgame,3,F,-53.86,1.04,-223.7,0.0116,0.1576,-0.1094,0.2674,0.1398,-0.3015,-0.0576,-0.2453
matrixgame,3,FR,-1541.87,63.03,-2044.1,-0.1124,0.7964,-0.2431,0.5629,0.0272,-0.5598,-0.9551,-0.8807
matrixgame,3,R,-181.48,79.04,-654.4,0.0612,0.7626,-0.2724,0.7737,0.4833,-0.6984,-0.8325,-0.6602
matrixgame,3,BR,69.55,11.4,-117.3,-0.0615,0.1416,0.0982,-0.1096,0.0357,0.13,-0.3133,0.1186
matrixgame,3,B,89.22,-1.8,749.3,-0.0698,-0.0359,0.3092,-0.3068,-0.1793,0.5903,0.1435,0.7069
matrixgame,3,BL,-2.26,-41.41,280.3,0.0666,-0.4113,-0.1355,0.0485,-0.1354,0.1363,0.4205,-0.0405
matrixgame,3,L,-98.45,-61.63,149.2,0.1662,-0.7358,-0.7284,0.454,0.3663,-0.7937,0.7544,-0.8148
matrixgame,3,FL,-121.76,-18.15,-61.7,0.0454,-0.2736,-0.1703,0.2009,-0.0513,-0.009,0.1497,0.157
matrixgame,4,F,-82.72,-0.2,-220.9,0.5106,0.1734,-0.2394,0.0244,-0.103,0.1748,-0.3436,0.2581
matrixgame,4,FR,-200.09,33.46,-1872.5,0.594,0.9703,0.1821,0.8679,0.6127,-0.5847,-0.4061,0.6071
matrixgame,4,R,-125.48,-23.76,-1793.1,0.1587,0.8703,-0.0514,0.5965,0.479,-0.579,-0.2421,0.3391
matrixgame,4,BR,51.73,19.29,-1298.6,-0.122,0.8012,0.343,0.3472,-0.1702,0.2169,-0.0739,0.188
matrixgame,4,B,49.49,-1.62,240.5,-0.1672,-0.0543,0.2034,-0.1399,-0.0973,0.1258,0.0019,-0.1724
matrixgame,4,BL,83.28,25.44,2400.3,0.0403,-0.8491,-0.6867,-0.0948,0.7394,-0.3416,0.5398,0.0991
matrixgame,4,L,-145.07,4.86,305.1,0.364,-0.7189,-0.6525,0.5091,0.7459,-0.6091,0.4454,0.0696
matrixgame,4,FL,-6563.52,-10.89,114.2,0.5751,-0.9009,-0.6867,0.2565,0.9391,-0.6501,-0.8385,-0.5195
