model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
pca8_8node,0,F,-16.65,-0.3,-61.6,0.5641,0.2863,-0.4536,-0.2868,-0.0372,-0.2511,0.2316,0.3119
pca8_8node,0,FR,-40.16,2.23,-375.4,0.5546,0.6524,-0.4984,-0.2656,0.2667,-0.2074,-0.3727,0.5556
pca8_8node,0,R,6.21,6.96,-374.3,0.0386,0.6499,0.0459,0.1564,-0.0745,0.0248,-0.0421,0.118
pca8_8node,0,BR,32.25,5.72,-192.6,-0.1811,0.468,0.4285,0.1935,-0.1697,0.0403,0.0108,-0.1721
pca8_8node,0,B,21.62,3.94,57.3,-0.2059,0.0256,0.3066,-0.1391,-0.045,0.0845,-0.0292,-0.2099
pca8_8node,0,BL,27.26,0.17,364.8,-0.2561,-0.3795,0.1814,-0.4187,-0.1184,0.2389,0.0233,-0.3143
pca8_8node,0,L,-7.56,-6.92,527.1,-0.0139,-0.7434,-0.1914,-0.298,0.237,0.0073,0.2749,-0.0696
pca8_8node,0,FL,-21.54,0.5,100.3,0.4861,-0.2939,-0.2266,-0.1201,-0.2331,-0.1544,0.4472,0.3563
pca8_8node,1,F,-40.96,-1.05,-119.8,0.5176,-0.1273,-0.1417,0.2638,0.3786,-0.1897,-0.4224,0.3571
pca8_8node,1,FR,-45.32,2.5,-296.3,0.405,0.359,-0.0772,0.1201,0.019,-0.1869,-0.0697,0.1436
pca8_8node,1,R,-26.88,-0.43,-473.1,0.0311,0.6435,0.2523,0.3428,0.1379,-0.1881,0.0014,0.0248
pca8_8node,1,BR,-0.27,2.88,-266.6,-0.1866,0.4299,0.3353,0.1029,-0.203,0.0269,0.1761,0.0202
pca8_8node,1,B,28.59,1.53,121.1,-0.2104,0.041,0.1765,-0.2997,-0.2747,0.149,0.0329,-0.146
pca8_8node,1,BL,30.29,-0.48,312.5,-0.25,-0.2986,0.2233,-0.414,-0.1648,0.1909,0.0834,-0.2431
pca8_8node,1,L,-21.1,-2.41,360.4,0.0666,-0.6863,-0.3845,-0.2739,0.1853,-0.1392,-0.0893,0.0733
pca8_8node,1,FL,-20.54,-1.69,44.9,0.3823,-0.356,-0.076,0.0695,0.2296,-0.176,-0.1447,0.1169
pca8_8node,2,F,-41.5,-3.26,-97.2,0.3018,-0.0191,-0.5426,0.1352,0.1581,-0.0362,0.0995,0.4062
pca8_8node,2,FR,-65.96,5.24,-426.3,0.3766,0.5204,-0.4047,0.0268,0.0964,-0.0572,-0.2766,0.3272
pca8_8node,2,R,-41.2,2.94,-619.7,0.1829,0.767,0.1876,0.5153,0.1404,-0.0526,0.2774,0.4861
pca8_8node,2,BR,13.34,5.0,-339.7,-0.1256,0.5734,0.3505,0.3257,-0.1632,0.026,0.1219,-0.0114
pca8_8node,2,B,37.03,3.21,146.9,-0.14,0.0008,0.2635,-0.1975,-0.2958,0.1479,-0.0542,-0.315
pca8_8node,2,BL,22.67,-1.54,343.8,-0.2112,-0.438,0.2432,-0.3494,-0.156,0.2893,-0.0405,-0.2366
pca8_8node,2,L,-2.03,-7.39,477.6,-0.0298,-0.6969,-0.2237,-0.3393,0.2493,0.0574,0.1113,-0.0677
pca8_8node,2,FL,-45.07,-8.06,-2.8,0.3424,-0.3617,-0.2288,-0.0076,0.0937,-0.261,0.413,0.1365
pca8_8node,3,F,-181.34,1.47,-358.5,0.3177,0.0364,-0.4578,0.491,0.5523,-0.5087,0.5091,0.1892
pca8_8node,3,FR,-84.67,-1.08,-340.3,0.3592,0.5506,-0.6226,0.315,0.5385,-0.4157,0.6523,0.6183
pca8_8node,3,R,-18.66,15.38,-469.4,-0.0133,0.7223,0.2236,0.2628,-0.0547,0.0108,-0.3202,0.1487
pca8_8node,3,BR,54.92,13.47,14.1,-0.1962,0.4573,0.4928,-0.2452,-0.4919,0.4937,-0.2971,0.0111
pca8_8node,3,B,52.84,5.04,308.7,-0.1447,-0.1058,0.2768,-0.2552,-0.2782,0.4631,-0.3289,0.0809
pca8_8node,3,BL,63.72,4.96,611.2,-0.2066,-0.3669,0.2513,-0.4566,-0.3579,0.5204,-0.1846,-0.0578
pca8_8node,3,L,24.98,7.34,579.6,-0.0017,-0.6767,-0.2109,-0.3526,0.128,0.063,0.1872,0.066
pca8_8node,3,FL,-171.91,-3.28,-224.5,0.2527,-0.3567,-0.2949,0.323,0.5203,-0.3819,0.4571,0.2325
pca8_8node,4,F,-11.1,-0.44,6.0,0.2555,0.0321,-0.4578,-0.1784,0.0513,0.0419,-0.0768,0.3316
pca8_8node,4,FR,-22.03,2.84,-329.0,0.318,0.5261,-0.5075,0.0923,-0.1869,0.1742,-0.0457,0.5015
pca8_8node,4,R,-1.93,5.79,-341.0,0.0812,0.5994,0.0182,0.2441,0.0619,0.2255,0.1024,0.1751
