model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
worldplay,0,F,-18.21,-1.34,-81.0,0.1859,0.0865,-0.323,-0.0372,-0.1268,-0.0981,0.1483,0.3084
worldplay,0,FR,-18.25,0.07,-710.7,0.2011,0.6851,-0.3612,0.144,0.0927,-0.1634,0.3064,0.4426
worldplay,0,R,31.27,11.12,-605.2,0.0609,0.7871,-0.1403,0.378,0.1413,-0.1278,0.2557,0.3156
worldplay,0,BR,41.58,6.31,-532.2,0.0307,0.7139,-0.103,0.349,0.1536,-0.1358,0.2682,0.2548
worldplay,0,B,22.99,1.4,134.0,-0.1273,-0.0281,0.1382,-0.1016,0.0213,0.0384,-0.0018,-0.1126
worldplay,0,BL,25.38,-3.75,415.5,-0.0375,-0.405,0.0547,0.0222,-0.0408,0.0467,0.1828,-0.1068
worldplay,0,L,43.49,-6.93,965.3,0.1048,-0.746,-0.2841,0.0918,0.3033,0.044,-0.1406,0.0478
worldplay,0,FL,18.69,-2.86,627.0,0.1032,-0.63,-0.2299,0.0398,0.251,-0.0323,-0.1009,0.0242
worldplay,1,F,-63.87,-1.63,-184.5,0.2354,-0.0567,-0.1955,0.1958,0.0237,-0.2231,-0.1467,0.3044
worldplay,1,FR,-69.54,0.68,-981.6,0.1752,0.7761,-0.2329,0.4331,0.2706,-0.3667,0.1888,0.3612
worldplay,1,R,23.06,3.29,-713.7,0.0408,0.7956,-0.0343,0.5089,0.1631,-0.254,0.2822,0.312
worldplay,1,BR,13.21,1.38,-828.6,-0.0507,0.7347,0.3917,0.4865,0.1131,-0.2576,0.0992,0.2447
worldplay,1,B,43.98,1.52,208.7,-0.1422,0.0138,0.2095,-0.1559,-0.1374,0.1666,0.1095,-0.1129
worldplay,1,BL,13.51,-3.2,394.9,-0.0205,-0.4923,-0.0384,0.0257,0.0678,-0.0126,0.2108,-0.0592
worldplay,1,L,10.01,-12.83,782.2,0.1054,-0.7549,-0.3709,0.0517,0.3878,-0.1282,-0.1193,-0.0513
worldplay,1,FL,-65.99,-7.58,321.0,0.1069,-0.6414,-0.3105,0.0408,0.3252,-0.1687,-0.12,-0.0681
worldplay,2,F,-29.53,0.83,-103.9,0.0303,-0.012,-0.0463,0.0908,0.0332,-0.0582,-0.0327,0.1121
worldplay,2,FR,24.9,2.35,-528.9,0.0943,0.6227,-0.1448,0.2977,0.1613,-0.1948,0.22,0.3678
worldplay,2,R,52.98,5.03,-465.2,0.0492,0.7858,-0.0729,0.4015,0.1544,-0.1507,0.2436,0.3349
worldplay,2,BR,42.71,3.96,-604.3,0.0605,0.8093,-0.1005,0.4485,0.1932,-0.2097,0.2974,0.3564
worldplay,2,B,21.24,0.14,100.3,-0.0771,-0.0171,0.1188,-0.0621,-0.0296,0.0783,-0.0063,-0.0632
worldplay,2,BL,5.81,-1.95,239.8,-0.0168,-0.3514,0.0158,0.0656,-0.0068,0.0205,0.2751,-0.0383
worldplay,2,L,46.94,-11.84,965.4,0.1091,-0.7487,-0.2726,0.0787,0.3222,0.0057,-0.0864,0.0646
worldplay,2,FL,3.5,-9.13,605.6,0.1199,-0.6559,-0.2439,0.1029,0.251,-0.0133,-0.119,0.0902
worldplay,3,F,-70.92,3.74,-255.4,0.3207,0.5998,-0.7063,0.6493,0.6718,-0.723,0.7944,0.6277
worldplay,3,FR,-131.59,18.49,-906.9,0.2021,0.798,-0.4477,0.6645,0.5195,-0.6106,0.4854,0.5402
worldplay,3,R,-4.2,5.13,-837.0,0.041,0.7922,-0.0068,0.4658,0.1366,-0.2828,0.1481,0.2521
worldplay,3,BR,29.37,9.99,-686.6,0.003,0.7673,0.1401,0.431,0.0665,-0.2288,0.0411,0.2279
worldplay,3,B,39.29,-6.5,224.1,-0.1621,-0.09,0.2677,-0.3833,-0.2039,0.3093,-0.0123,-0.1805
worldplay,3,BL,41.01,-15.91,693.9,-0.0754,-0.5394,0.0832,-0.3739,-0.163,0.2409,0.099,-0.1691
worldplay,3,L,-47.69,-9.56,585.8,0.1033,-0.758,-0.3861,-0.0102,0.4551,-0.2904,-0.0445,-0.1723
worldplay,3,FL,-174.42,-8.33,242.1,0.1663,-0.6945,-0.4399,0.0947,0.5129,-0.389,0.1228,-0.0269
worldplay,4,F,-26.27,-1.61,-125.8,0.0628,0.0376,-0.0454,0.048,0.0346,-0.0737,-0.0137,0.0101
worldplay,4,FR,5.29,2.88,-646.3,0.0981,0.7331,-0.1773,0.398,0.1933,-0.2908,0.2786,0.2924
worldplay,4,R,20.63,9.37,-704.1,0.0707,0.8188,-0.1087,0.5066,0.2112,-0.3084,0.2513,0.291
worldplay,4,BR,24.85,3.44,-690.5,0.029,0.7774,-0.0125,0.4321,0.1213,-0.2362,0.2078,0.2657
worldplay,4,B,28.5,-0.5,161.2,-0.0992,-0.0183,0.0929,-0.1128,-0.0007,0.1086,0.0337,-0.0164
worldplay,4,BL,7.76,-5.93,375.8,-0.0151,-0.415,-0.0269,-0.0005,0.0343,0.0211,0.2239,-0.0121
worldplay,4,L,8.94,3.07,828.7,0.1151,-0.7617,-0.3339,0.0575,0.402,-0.1412,-0.1274,-0.0268
worldplay,4,FL,-4.45,-2.3,549.3,0.1167,-0.6818,-0.2917,0.0698,0.376,-0.1246,-0.1673,0.0417
worldplay,5,F,-20.68,-0.21,-69.9,0.0891,-0.0252,-0.0065,0.0325,-0.0297,-0.0598,-0.0896,0.2924
worldplay,5,FR,23.9,-0.35,-516.1,0.0507,0.604,-0.2493,-0.2478,-0.0836,0.4149,0.117,0.3111
worldplay,5,R,47.32,5.95,-489.8,0.0379,0.7245,-0.1442,0.0963,0.0185,0.1612,0.1387,0.2874
worldplay,5,BR,45.88,5.02,-533.9,-0.003,0.6997,-0.024,0.1434,-0.0055,0.1734,0.1874,0.2981
worldplay,5,B,19.4,0.61,89.6,-0.11,-0.0154,0.1532,-0.1341,-0.0365,0.1475,0.0665,-0.0636
worldplay,5,BL,15.74,-0.55,378.6,0.0011,-0.4148,-0.0717,0.0139,0.0333,0.0602,0.1374,0.0325
worldplay,5,L,47.92,-4.31,996.7,0.0968,-0.723,-0.224,0.0759,0.2269,0.091,-0.075,0.0468
worldplay,5,FL,38.91,-4.81,822.7,0.0901,-0.6268,-0.1562,0.0633,0.1641,0.0808,-0.0675,0.0585
worldplay,6,F,-47.11,-2.6,-200.2,0.1894,0.0935,-0.0967,0.0465,0.0916,-0.3429,0.4005,0.3374
worldplay,6,FR,-37.34,2.79,-740.7,0.1503,0.6554,-0.1031,0.3282,0.1936,-0.3999,0.4972,0.3192
worldplay,6,R,-17.17,5.58,-850.7,0.0265,0.7767,0.0395,0.4849,0.1474,-0.283,0.2727,0.2584
worldplay,6,BR,24.42,4.91,-620.1,-0.0102,0.6602,0.0797,0.331,0.0273,-0.12,0.1595,0.2122
worldplay,6,B,26.73,0.77,149.6,-0.1318,-0.1359,0.2125,-0.2835,-0.1676,0.3425,-0.2206,-0.0781
worldplay,6,BL,7.9,-6.1,582.9,-0.1114,-0.5601,0.1655,-0.3288,-0.2102,0.2712,0.1907,-0.2109
worldplay,6,L,-66.88,3.42,496.8,0.1147,-0.7046,-0.3717,0.2892,0.6109,-0.4869,-0.0473,0.0849
worldplay,6,FL,-252.5,-6.8,-95.3,0.2668,-0.4654,-0.4457,0.2871,0.56,-0.5775,0.4261,0.2341
worldplay,7,F,-77.67,-4.94,-237.2,0.2182,-0.017,-0.2368,0.0307,-0.0252,-0.2376,-0.1203,0.3381
worldplay,7,FR,-49.71,2.36,-916.5,0.1772,0.8049,-0.2412,0.4242,0.2404,-0.4112,0.1591,0.3395
worldplay,7,R,12.44,3.89,-787.8,0.0564,0.805,-0.012,0.4888,0.224,-0.3292,0.1693,0.2247
worldplay,7,BR,-9.43,1.53,-936.9,0.0639,0.8222,-0.0555,0.5005,0.2382,-0.3295,0.2101,0.2549
worldplay,7,B,40.3,5.82,202.2,-0.1362,0.0201,0.2036,-0.0967,-0.0911,0.1408,0.0947,-0.1042
worldplay,7,BL,-13.96,-4.78,389.2,-0.0099,-0.5614,-0.0355,0.0922,0.1061,-0.0766,0.3023,-0.0891
worldplay,7,L,-11.71,-6.79,717.7,0.1267,-0.7822,-0.4098,0.0961,0.4665,-0.2467,-0.1243,-0.0922
worldplay,7,FL,-20.39,-10.2,577.4,0.1418,-0.7777,-0.4051,0.0986,0.4655,-0.2672,-0.1358,-0.0707
worldplay,8,F,-54.63,-1.52,-177.3,0.1647,-0.0005,-0.1647,0.0727,-0.0818,-0.1554,-0.0837,0.2317
worldplay,8,FR,-29.74,-8.78,-918.9,0.1644,0.8082,-0.2804,0.3373,0.1981,-0.3338,0.1846,0.3823
worldplay,8,R,-0.1,-2.79,-827.1,-0.0073,0.7254,0.4069,0.3133,0.2213,-0.1326,-0.1927,-0.2255
worldplay,8,BR,21.08,0.67,-725.0,0.0026,0.761,0.0954,0.3516,0.0749,-0.1496,0.0748,0.1339
worldplay,8,B,34.55,2.09,171.7,-0.1222,-0.0091,0.1249,-0.126,-0.0551,0.1155,0.0708,-0.0557
worldplay,8,BL,30.31,-7.81,477.4,-0.0356,-0.465,0.0877,0.0905,-0.0861,0.0174,0.46,-0.1157
worldplay,8,L,11.49,-0.4,841.8,0.1212,-0.7691,-0.3654,0.0911,0.4219,-0.1429,-0.1405,-0.0173
worldplay,8,FL,-5.14,-1.12,589.0,0.1342,-0.6935,-0.2995,0.1386,0.343,-0.1234,-0.1547,0.0218
worldplay,9,F,-55.92,-0.22,-191.2,0.0779,0.0218,-0.0821,0.0669,-0.043,-0.0821,-0.0201,0.1754
worldplay,9,FR,20.2,-10.37,-599.1,0.0672,0.6028,-0.2969,-0.0054,0.0822,0.1293,0.2379,0.2895
worldplay,9,R,3.41,-12.88,-890.6,0.0642,0.7713,-0.2658,0.1716,0.1335,0.0741,0.2089,0.3552
worldplay,9,BR,-21.45,-12.8,-963.6,0.0496,0.7621,-0.236,0.2255,0.2044,-0.084,0.2161,0.3278
worldplay,9,B,33.96,-5.01,147.9,-0.1434,0.0799,0.1746,-0.2755,-0.1436,0.0953,0.2154,-0.2052
worldplay,9,BL,41.34,-2.09,597.5,-0.0595,-0.3959,0.0043,-0.1248,0.0593,0.0767,0.1649,-0.0926
worldplay,9,L,-14.56,15.36,797.8,0.1042,-0.7064,-0.1203,0.1472,0.0661,0.1907,-0.0186,0.0773
worldplay,9,FL,-15.79,10.68,588.6,0.104,-0.6327,-0.075,0.1638,-0.0209,0.2264,-0.0534,0.0998
worldplay,10,F,-76.8,-3.68,-268.0,0.277,0.0726,-0.3309,0.4796,0.0245,-0.3177,0.0918,0.2909
worldplay,10,FR,-362.01,3.75,-1197.4,0.2499,0.6624,-0.3501,0.5543,0.2454,-0.3199,0.3259,0.1889
worldplay,10,R,-9.49,1.7,-892.9,0.0307,0.78,0.0493,0.4367,0.1097,-0.2792,0.0832,0.1746
worldplay,10,BR,23.76,5.68,-709.6,-0.0726,0.7056,0.2587,0.377,-0.0288,-0.1435,0.2965,0.165
worldplay,10,B,59.18,4.05,409.5,-0.1518,-0.0238,0.2679,-0.31,-0.1824,0.2677,0.0329,-0.083
worldplay,10,BL,16.4,-4.51,545.7,-0.0887,-0.4854,0.0313,-0.3294,0.0865,0.1179,-0.0899,-0.1237
worldplay,10,L,-1.31,-6.76,747.4,0.1222,-0.7663,-0.4382,0.0615,0.5261,-0.277,-0.346,-0.1965
worldplay,10,FL,-399.24,-13.82,-132.1,0.2302,-0.7497,-0.5128,0.246,0.5639,-0.2959,-0.3383,-0.1707
worldplay,11,F,-34.33,0.22,-146.3,0.0699,0.1058,-0.3483,-0.0394,-0.0262,-0.1328,0.1073,0.3053
worldplay,11,FR,37.43,4.89,-297.1,0.0807,0.653,-0.2837,0.2805,0.1006,-0.073,0.3679,0.4628
worldplay,11,R,74.57,5.09,-121.1,-0.0033,0.6954,0.0004,0.209,-0.0665,-0.0133,0.1157,0.3045
worldplay,11,BR,50.02,-0.51,-394.6,-0.026,0.607,0.108,0.163,-0.0114,0.0204,0.0099,0.1989
worldplay,11,B,76.97,-0.15,618.4,-0.127,-0.1114,0.2436,-0.3108,-0.2541,0.437,-0.0732,0.0452
worldplay,11,BL,45.08,-4.81,873.2,-0.0364,-0.5748,0.0043,-0.2355,0.09,0.1575,0.3368,-0.0534
worldplay,11,L,59.1,-15.67,1055.4,0.0688,-0.7262,-0.3328,-0.0542,0.4319,-0.1593,-0.0856,-0.0966
worldplay,11,FL,26.99,-14.58,662.0,0.1227,-0.5983,-0.3442,0.0584,0.5126,-0.229,-0.0429,0.0051
worldplay,12,F,-33.6,-1.79,-118.5,0.2682,0.0953,-0.3101,0.4466,-0.0046,-0.1561,0.0881,0.424
worldplay,12,FR,-11.14,6.6,-590.4,0.1947,0.6803,-0.2163,0.5273,0.1758,-0.3657,0.2138,0.4676
worldplay,12,R,39.86,1.41,-589.8,0.0428,0.8042,0.0349,0.5642,0.2341,-0.4066,0.3105,0.2826
worldplay,12,BR,42.48,3.38,-551.2,0.0224,0.7881,0.041,0.5434,0.2038,-0.3513,0.3532,0.2799
