model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
yume,0,F,-56.35,-2.27,-308.2,0.1542,-0.2531,0.0349,0.5003,-0.0022,-0.4084,0.3249,0.0213
yume,0,FR,29.16,16.69,-853.9,0.7244,0.9986,-0.0835,0.5283,0.7259,-0.6347,-0.7734,0.5707
yume,0,R,42.32,5.81,-321.9,0.307,0.9498,-0.5222,0.6124,0.4228,-0.5278,0.0405,0.3609
yume,0,BR,37.21,9.09,-482.8,0.1288,0.9969,-0.5416,-0.6532,0.9553,0.0513,-0.9978,0.7302
yume,0,B,5.76,-0.33,39.0,-0.3184,-0.0785,0.444,-0.4012,-0.0531,0.0555,-0.1272,-0.5363
yume,0,BL,-28.45,-16.96,319.3,0.1595,-0.9638,-0.0031,0.5992,-0.1447,-0.1695,0.8502,-0.5035
yume,0,L,8.24,-11.47,462.1,0.125,-0.8324,-0.3358,0.2656,0.2447,-0.1107,-0.1443,-0.3364
yume,0,FL,-0.6,-17.78,596.3,0.8413,-0.9499,-0.5683,0.8628,-0.8251,-0.3737,0.9457,-0.1919
yume,1,F,-103.15,-0.4,-450.8,0.9204,-0.3984,-0.7743,0.8817,0.995,-0.5041,-0.1113,0.7388
yume,1,FR,-78.2,-0.67,-1151.9,0.9649,0.979,-0.4229,0.646,0.811,0.1619,-0.4858,0.1411
yume,1,R,12.02,2.52,-459.5,0.0754,0.8893,-0.3424,0.2849,0.0643,-0.1191,0.4304,0.4173
yume,1,BR,21.11,9.45,-2407.0,0.3195,0.9394,0.5005,0.6922,0.4606,-0.3606,-0.7138,-0.2002
yume,1,B,-86.27,0.3,-379.3,0.9351,-0.3744,-0.6872,0.6984,0.8697,-0.4752,-0.2182,0.7986
yume,1,BL,13.98,-4.26,1218.3,0.754,-0.9981,-0.4775,0.8539,0.4534,-0.6011,0.8354,0.2069
yume,1,L,-24.62,-2.77,739.7,0.8893,-0.9805,-0.7497,0.8228,0.0832,-0.6649,0.3928,0.6048
yume,1,FL,-110.24,0.45,-31.2,0.9793,-0.5234,-0.9737,0.377,0.9256,0.0175,0.8299,0.7499
yume,2,F,-21.04,1.74,-107.9,0.3893,-0.0306,-0.4054,0.5883,0.0839,-0.1384,0.2762,0.3917
yume,2,FR,-22.4,10.1,-1241.4,0.7018,0.9947,-0.5589,0.7034,0.7985,-0.6666,-0.7179,0.7549
yume,2,R,26.82,11.53,-416.3,0.37,0.9689,-0.2789,-0.5075,0.7197,-0.2563,-0.8635,0.5588
yume,2,BR,8.57,18.03,-1122.2,0.3023,0.9991,-0.7006,0.365,0.8884,-0.5163,-0.9684,0.3663
yume,2,B,7.72,0.52,44.2,-0.111,0.0702,0.2724,-0.0793,-0.2886,0.0455,0.2061,-0.4647
yume,2,BL,-27.07,-18.29,672.9,0.2118,-0.9811,-0.3306,0.5283,0.2763,-0.4836,0.9409,-0.5974
yume,2,L,-12.7,-9.29,582.2,0.3247,-0.9334,-0.3809,0.3147,0.2546,-0.2712,0.159,-0.0445
yume,2,FL,-18.08,-15.04,708.2,0.745,-0.9561,-0.7725,-0.0662,0.2016,-0.6563,0.8492,0.1419
yume,3,F,-270.05,-0.55,-825.3,-0.0993,-0.0677,-0.6416,0.4,0.597,-0.48,-0.45,-0.6652
yume,3,FR,-110.64,-17.6,-3320.7,0.5361,0.7689,0.6933,0.7486,0.5012,-0.5378,-0.3016,0.4212
yume,3,R,38.7,53.95,-804.7,-0.2249,0.9431,0.3881,0.8746,0.6614,-0.6391,-0.1827,-0.704
yume,3,BR,-4.02,58.36,-788.1,-0.106,0.9379,-0.8732,0.6,0.7277,-0.8723,-0.9894,-0.9987
yume,3,B,13.26,-2.26,87.4,-0.1609,-0.36,0.4347,-0.589,-0.2905,0.7232,-0.2373,0.3527
yume,3,BL,-14.52,-140.28,288.4,-0.0573,-0.9962,-0.4493,0.1179,-0.685,-0.4014,0.992,-0.7141
yume,3,L,-12.38,-19.02,902.0,0.507,-0.996,-0.6597,0.2548,0.642,-0.6301,0.7847,-0.4212
yume,3,FL,-17.16,0.67,2009.4,0.6175,-0.9964,-0.8911,-0.6477,0.6251,-0.5732,0.9808,-0.1294
yume,4,F,-17.77,0.22,-101.2,0.6914,0.3967,-0.849,-0.1048,0.1766,0.6938,-0.0316,0.0673
yume,4,FR,27.54,11.73,-894.3,0.6633,0.997,-0.3909,0.7359,0.6912,0.1992,-0.2851,0.7296
yume,4,R,28.05,4.13,-366.1,0.2015,0.9307,-0.6021,0.3132,0.2376,-0.2044,0.3629,0.5241
yume,4,BR,35.64,19.34,-740.4,0.4771,0.9989,-0.5187,-0.2599,0.888,-0.1305,-0.8741,0.8053
yume,4,B,-2.38,-0.51,-17.9,0.0071,0.7741,-0.7241,-0.8252,0.7671,0.5183,-0.8675,0.6201
yume,4,BL,-11.5,-22.77,1323.1,0.471,-0.9985,-0.3559,0.6155,0.3873,-0.7475,0.7229,-0.4645
yume,4,L,-27.6,-11.63,372.6,-0.067,-0.8702,-0.0876,0.0303,0.4835,-0.317,-0.4059,-0.3088
yume,4,FL,24.72,-11.15,1122.0,0.6411,-0.8891,-0.9907,0.1993,0.5792,0.3678,-0.2764,0.7461
yume,5,F,-18.54,-0.28,-92.1,0.393,-0.3148,0.1327,0.5417,-0.3269,0.1114,-0.5238,-0.2046
yume,5,FR,-25.29,7.56,-1048.8,0.5237,0.986,-0.1443,-0.1157,0.6243,0.4776,-0.9308,0.2745
yume,5,R,36.49,9.33,-531.1,0.0889,0.9525,-0.0032,0.4923,0.1567,-0.1697,0.0767,0.3435
yume,5,BR,19.26,14.11,-889.9,0.3709,0.9938,-0.6481,-0.1273,0.4998,0.0282,-0.9139,0.3068
yume,5,B,3.21,-0.51,35.0,-0.2478,-0.1364,0.3691,0.0001,0.0785,-0.1063,0.3073,-0.2359
yume,5,BL,8.24,-13.48,857.5,0.0358,-0.9573,-0.0377,0.4003,-0.1082,0.1896,0.8681,-0.5404
yume,5,L,28.54,-3.57,642.4,0.0466,-0.6736,-0.125,0.1798,0.057,0.2162,-0.0728,-0.0483
yume,5,FL,13.52,-5.12,596.2,0.5878,-0.8684,0.0833,0.5099,-0.44,-0.1369,0.8801,-0.3368
yume,6,F,-17.6,1.95,-101.7,0.6317,0.0748,-0.2614,0.4856,-0.0931,0.2727,-0.4019,-0.2662
yume,6,FR,-12.81,15.2,-1104.8,0.8258,0.9996,0.0462,0.7118,0.962,-0.638,-0.9447,-0.4189
yume,6,R,-24.78,10.85,-804.7,-0.0978,0.8818,0.7473,0.621,0.0359,-0.1694,0.8059,-0.2884
yume,6,BR,1.3,20.11,-1286.8,0.7211,1.0,-0.605,0.6352,0.9624,-0.8836,-0.9934,0.2935
yume,6,B,20.45,-1.5,129.6,-0.261,-0.0415,0.2111,-0.5637,-0.2047,0.2307,-0.0495,0.0096
yume,6,BL,4.43,-32.74,891.0,0.5549,-0.9981,-0.6546,0.2587,0.2871,-0.8693,0.9932,-0.9027
yume,6,L,-10.71,-3.95,611.3,0.2901,-0.929,-0.5445,0.2551,0.7067,-0.2856,-0.7349,-0.1642
yume,6,FL,2.81,-20.33,914.4,0.4172,-0.8797,-0.5862,0.2236,0.4813,-0.5541,0.7315,-0.3203
yume,7,F,-127.95,-1.95,-522.7,0.5136,-0.6792,-0.5916,0.8388,0.9885,-0.7258,-0.1538,0.2746
yume,7,FR,-26.14,4.2,-1008.7,0.8326,0.9987,-0.8627,0.3253,0.9243,-0.4928,-0.0019,0.0458
yume,7,R,-3.54,11.9,-977.2,0.7388,0.9988,-0.9318,0.2634,0.884,-0.3484,-0.8265,0.2766
yume,7,BR,-75.49,27.11,-1171.0,0.1793,0.9823,-0.4053,0.4983,0.5677,-0.2394,-0.8133,-0.183
yume,7,B,-39.82,-0.2,-214.1,0.9663,-0.4925,-0.6459,0.5057,0.6768,-0.3025,0.5795,0.7414
yume,7,BL,-14.23,-11.26,786.6,0.6772,-0.9968,-0.7567,0.8789,0.5053,-0.8289,0.8428,-0.0406
yume,7,L,-3.59,-5.64,401.0,0.4303,-0.9267,-0.3936,0.8226,-0.2878,-0.411,0.7132,0.0335
yume,7,FL,-53.24,-4.7,427.8,0.8895,-0.9645,-0.5491,0.2448,0.8411,-0.7314,0.9769,0.7589
yume,8,F,-76.37,0.48,-333.8,0.9736,0.1461,-0.6463,0.1419,0.0296,0.4298,0.0571,0.7916
yume,8,FR,-16.08,5.68,-1379.9,0.8788,0.999,-0.3674,0.3453,0.9585,-0.47,-0.9658,0.3317
yume,8,R,20.14,9.47,-493.4,0.0215,0.9106,-0.1477,0.4606,0.1385,-0.327,0.2047,0.1898
yume,8,BR,-19.66,9.45,-1523.8,0.4202,0.9994,-0.3521,0.878,0.7579,-0.7041,-0.8618,0.5042
yume,8,B,24.58,-0.05,194.5,-0.3475,-0.1441,0.4549,-0.2475,-0.2435,0.103,0.2533,-0.5261
yume,8,BL,-8.99,-11.47,1054.7,0.2927,-0.9919,-0.1691,0.698,0.0692,-0.1042,0.9664,-0.1718
yume,8,L,-71.63,-0.76,306.6,0.965,-0.9395,-0.56,0.7553,-0.5541,-0.5203,0.7196,0.7322
yume,8,FL,-38.51,-2.3,552.9,0.953,-0.9886,-0.3424,0.9317,-0.4275,-0.3501,0.9207,0.6703
yume,9,F,-165.56,0.1,-617.1,0.9473,0.1445,-0.9268,0.9424,0.5847,0.7698,0.3635,-0.3087
yume,9,FR,10.25,15.27,-799.9,0.6919,0.9948,-0.777,0.026,0.9729,0.3104,-0.2345,0.3894
yume,9,R,19.27,-8.2,-468.3,0.2852,0.9277,-0.7369,0.3798,0.4097,-0.2395,0.868,0.6671
yume,9,BR,-49.72,7.68,-1100.2,0.2202,0.9754,-0.6991,0.3042,0.7589,0.1058,-0.1415,0.3004
yume,9,B,37.02,-0.03,278.6,-0.2958,0.0005,0.312,-0.4075,0.1587,-0.092,-0.1197,-0.355
yume,9,BL,-9.06,-6.22,514.3,0.622,-0.9836,0.5206,0.8816,-0.7763,0.664,0.8345,0.1051
yume,9,L,38.88,-14.9,891.8,0.6634,-0.9653,0.1058,0.9336,-0.5399,0.2507,0.4565,-0.1355
yume,9,FL,-49.95,-7.19,281.2,0.8861,-0.9299,-0.5038,0.9086,0.1713,0.7885,0.5287,-0.2723
yume,10,F,-144.61,-3.0,-616.9,0.9532,0.2189,-0.7182,0.9398,0.6109,-0.8819,-0.3048,-0.6237
yume,10,FR,-222.23,0.84,-2174.8,0.6023,0.8501,0.1714,0.8372,0.794,-0.6153,-0.8272,-0.2502
yume,10,R,13.56,7.77,-278.9,-0.0348,0.7355,-0.0167,0.393,0.0088,-0.1237,0.2127,-0.0571
yume,10,BR,3.58,15.51,-826.9,0.3579,0.9917,-0.5564,0.705,0.6445,-0.6832,-0.7502,-0.0886
yume,10,B,-57.95,-2.6,-322.8,0.8099,-0.0403,-0.6551,0.9646,0.9155,-0.6221,-0.2286,0.0474
yume,10,BL,-153.87,-34.81,209.8,0.0165,-0.9838,-0.5091,-0.4901,0.4521,-0.3045,0.1569,-0.7795
yume,10,L,-39.58,-21.66,369.5,-0.0646,-0.9473,-0.308,-0.1624,0.675,-0.5482,-0.0718,-0.5159
yume,10,FL,-253.5,-15.28,-199.0,0.8747,-0.8989,-0.891,0.9649,0.7656,-0.8938,0.9581,0.3163
yume,11,F,-64.84,4.08,-289.5,0.0521,0.0246,-0.0901,0.3199,0.3027,-0.1779,0.2292,-0.0042
yume,11,FR,-8.59,8.28,-1788.5,0.3616,0.9989,0.5408,0.945,0.7021,-0.5546,-0.8423,-0.3744
yume,11,R,12.01,6.97,-499.3,-0.0625,0.5907,0.0956,-0.1462,-0.1053,-0.0312,-0.2123,-0.0645
yume,11,BR,-47.93,18.18,-2111.0,0.1529,0.9989,0.5525,0.9325,0.4899,-0.6061,-0.8585,-0.4826
yume,11,B,45.34,-0.75,385.8,-0.0519,0.0024,0.0967,-0.0254,-0.1135,0.1021,0.0809,0.039
yume,11,BL,14.78,-27.49,1635.7,0.2191,-0.9768,-0.3907,0.218,-0.5408,-0.1544,0.9893,-0.2143
yume,11,L,19.41,-29.25,995.9,-0.0597,-0.8378,-0.2028,-0.3636,0.0095,0.2835,0.3947,-0.125
yume,11,FL,5.56,-21.23,1435.4,0.1791,-0.9894,-0.5256,-0.3425,-0.128,-0.6586,0.9641,0.121
yume,12,F,-28.32,-0.8,-146.8,0.8668,0.4001,-0.8174,-0.3641,0.4379,0.2023,-0.4307,-0.3686
yume,12,FR,21.99,15.53,-880.2,0.8423,0.9996,-0.6937,0.1872,0.9128,-0.8245,-0.7647,0.3129
yume,12,R,37.21,31.6,-164.2,0.6125,0.9415,-0.5857,0.5041,0.0405,-0.7389,0.2766,-0.0675
yume,12,BR,41.72,22.55,-519.9,0.7225,0.9991,-0.9279,0.5097,0.7532,-0.7548,-0.9091,0.0211
yume,12,B,28.26,1.46,201.0,-0.3977,0.0209,0.5367,-0.3289,-0.0432,0.1635,0.29,-0.3997
yume,12,BL,48.65,-14.09,1278.8,0.744,-0.9968,-0.4403,0.9063,0.0874,-0.848,0.9736,-0.6027
yume,12,L,4.61,-17.53,693.2,0.2173,-0.9385,-0.1865,0.6018,-0.0545,-0.4719,0.9093,-0.4114
yume,12,FL,17.07,-17.17,882.4,0.8171,-0.991,-0.72,0.7845,-0.1683,-0.8864,0.798,-0.2772
yume,13,F,-18.23,-0.72,-103.0,0.935,0.1709,-0.3619,-0.1345,-0.1671,0.6842,0.2272,0.583
yume,13,FR,1.13,5.5,-924.6,0.8114,0.9948,-0.912,-0.7801,0.8038,0.4656,-0.9876,0.8417
yume,13,R,-24.27,2.17,-751.4,0.053,0.8768,-0.1764,0.2466,0.2303,-0.1311,-0.2444,0.2989
yume,13,BR,8.0,14.89,-1618.5,0.2424,0.9999,-0.2034,0.6289,0.9713,-0.5602,-0.9888,0.5237
