uid,model,scene,n,fps,ctx,flag,n_events,score,cls,birth,birth_s,branch,onset,zprobe,bncc,box
astra_r00_B,astra,r00_B,125,20.0,4,0,0,,,,,,,,,
matrixgame_r00_B,matrixgame,r00_B,152,25.0,1,0,0,,,,,,,,,
minwm_r00_B,minwm,r00_B,77,16.0,13,0,0,,,,,,,,,
worldcam_r00_B,worldcam,r00_B,241,30.0,65,0,0,,,,,,,,,
worldplay_r00_B,worldplay,r00_B,146,24.0,1,0,0,-0.67,car,29.0,1.17,B,1.49,0.22,0.84,"[543.0, 259.7, 591.8, 273.2]"
yume_r00_B,yume,r00_B,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r00_B,ours_pca8,r00_B,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r00_B,ours_pca4,r00_B,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r00_B,ours_pca2,r00_B,108,16.0,12,0,0,,,,,,,,,
ours_16node_r00_B,ours_16node,r00_B,108,16.0,12,0,0,,,,,,,,,
ours_4node_r00_B,ours_4node,r00_B,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r00_B,ours_noatok,r00_B,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r00_B,ours_noadaln,r00_B,108,16.0,12,0,0,,,,,,,,,
astra_r00_BL,astra,r00_BL,125,20.0,4,0,0,,,,,,,,,
matrixgame_r00_BL,matrixgame,r00_BL,152,25.0,1,0,0,,,,,,,,,
minwm_r00_BL,minwm,r00_BL,77,16.0,13,0,0,,,,,,,,,
worldcam_r00_BL,worldcam,r00_BL,241,30.0,65,0,0,,,,,,,,,
worldplay_r00_BL,worldplay,r00_BL,146,24.0,1,0,0,,,,,,,,,
yume_r00_BL,yume,r00_BL,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r00_BL,ours_pca8,r00_BL,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r00_BL,ours_pca4,r00_BL,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r00_BL,ours_pca2,r00_BL,108,16.0,12,0,0,,,,,,,,,
ours_16node_r00_BL,ours_16node,r00_BL,108,16.0,12,0,0,,,,,,,,,
ours_4node_r00_BL,ours_4node,r00_BL,108,16.0,12,0,0,,,,,,,,,
