timestamp,ckpt_path,ckpt_sha256_first16,precision,denoising_steps,compile_mode,decoder,kv_cache_chunks,horizon_chunks,mean_gen_fps,mean_end_to_end_fps,mean_first_frame_latency_s,p95_chunk_gen_ms,peak_vram_gb,psnr_vs_ref,lpips_vs_ref,clip_path,notes
2026-08-30T22:19:54+00:00,,,bf16,4,off,wan,7,6,55.504,39.96,0.3003,300.31,9.0,,,/home/ashish/ARRWM/interactive/bench_out/mock_bf16_s4_coff_kv7_h6/clip.mp4,reference
2026-08-30T22:20:36+00:00,,,bf16,4,off,wan,7,6,55.505,39.961,0.3003,300.31,9.0,100.0,,/home/ashish/ARRWM/interactive/bench_out/mock_bf16_s4_coff_kv7_h6/clip.mp4,lpips-unavailable
2026-08-30T22:21:03+00:00,,,bf16,3,off,wan,7,6,68.08,49.015,0.244,244.0,8.55,100.0,,/home/ashish/ARRWM/interactive/bench_out/mock_bf16_s3_coff_kv7_h6/clip.mp4,lpips-unavailable
2026-08-30T22:21:27+00:00,,,bf16,2,off,wan,7,6,88.806,63.934,0.1877,187.7,8.1,100.0,,/home/ashish/ARRWM/interactive/bench_out/mock_bf16_s2_coff_kv7_h6/clip.mp4,lpips-unavailable
2026-08-30T22:21:45+00:00,,,bf16,1,off,wan,7,6,126.838,91.308,0.1314,131.42,7.65,100.0,,/home/ashish/ARRWM/interactive/bench_out/mock_bf16_s1_coff_kv7_h6/clip.mp4,lpips-unavailable
2026-08-31T00:11:07+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,4,off,wan,7,6,7.015,6.194,3.5086,1802.39,21.867,,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s4_coff_kv7_h6/clip.mp4,real-ref-bf16-s4;reference
2026-08-31T00:14:02+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,3,off,wan,7,6,8.327,7.193,2.9777,1532.95,21.867,19.699,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s3_coff_kv7_h6/clip.mp4,real-matrix-steps;lpips-unavailable
2026-08-31T00:16:45+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,2,off,wan,7,6,10.298,8.622,2.4352,1245.33,21.874,18.796,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s2_coff_kv7_h6/clip.mp4,real-matrix-steps;lpips-unavailable
2026-08-31T00:19:01+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,1,off,wan,7,6,13.43,10.719,1.8993,968.71,21.851,16.405,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s1_coff_kv7_h6/clip.mp4,real-matrix-steps;lpips-unavailable
2026-08-31T00:26:03+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,4,reduce-overhead,wan,7,6,,,,,,,,,"real-matrix-compile;FAILED: torch.compile mode=reduce-overhead incompatible with the engine's persistent KV/cross-attn cache. Compilation succeeded; hard error at CUDA-graph record time (cudagraph_trees record_function -> _copy_inputs_and_remove_from_src): 'accessing tensor output of CUDAGraphs that has been overwritten by a subsequent run' at causal_model.py:589 cross_attn_ffn, raised during engine.reset() chunk commit. Cudagraph trees assume the graph owns its output buffers; the rolling engine keeps cache tensors alive across invocations and mutates them in place. Not an OOM, not a graph break. Fix needs cudagraph_mark_step_begin() per invocation or cloning cache tensors out of the compiled region. Deferred; compile=off is the supported mode."
2026-08-31T00:26:03+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,2,reduce-overhead,wan,7,6,,,,,,,,,"real-matrix-compile;FAILED: torch.compile mode=reduce-overhead incompatible with the engine's persistent KV/cross-attn cache. Compilation succeeded; hard error at CUDA-graph record time (cudagraph_trees record_function -> _copy_inputs_and_remove_from_src): 'accessing tensor output of CUDAGraphs that has been overwritten by a subsequent run' at causal_model.py:589 cross_attn_ffn, raised during engine.reset() chunk commit. Cudagraph trees assume the graph owns its output buffers; the rolling engine keeps cache tensors alive across invocations and mutates them in place. Not an OOM, not a graph break. Fix needs cudagraph_mark_step_begin() per invocation or cloning cache tensors out of the compiled region. Deferred; compile=off is the supported mode."
2026-08-31T10:56:25+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,4,off,taew2_1,7,6,7.209,7.175,3.2748,1708.8,20.152,28.119,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s4_coff_kv7_h6_dtaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T10:58:56+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,4,off,lightvaew2_1,7,6,7.072,6.85,3.3858,1739.84,20.46,28.993,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s4_coff_kv7_h6_dlightvaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T11:00:52+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,2,off,taew2_1,7,6,11.515,11.429,2.0453,1070.03,20.159,14.674,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s2_coff_kv7_h6_dtaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T11:02:51+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,2,off,lightvaew2_1,7,6,11.127,10.586,2.1682,1113.4,20.434,15.0,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s2_coff_kv7_h6_dlightvaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T11:04:32+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,1,off,taew2_1,7,6,16.289,16.117,1.4502,779.59,23.013,12.312,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s1_coff_kv7_h6_dtaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T11:06:16+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,1,off,lightvaew2_1,7,6,15.636,14.591,1.5548,798.9,20.45,12.525,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s1_coff_kv7_h6_dlightvaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T11:10:20+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,4,off,lighttaew2_1,7,6,7.219,7.185,3.2685,1697.41,20.153,27.249,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s4_coff_kv7_h6_dlighttaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T11:12:16+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,2,off,lighttaew2_1,7,6,11.503,11.416,2.0482,1071.64,20.168,14.906,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s2_coff_kv7_h6_dlighttaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T11:13:57+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,1,off,lighttaew2_1,7,6,16.39,16.215,1.4354,756.55,20.159,12.534,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s1_coff_kv7_h6_dlighttaew2_1/clip.mp4,real-decoder;lpips-unavailable
2026-08-31T13:04:36+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,4,off,taew2_1,7,6,7.182,7.148,3.2897,1738.24,20.145,28.119,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s4_coff_kv7_h6_dtaew2_1/clip.mp4,real-compile-retest;lpips-unavailable
2026-08-31T13:06:28+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,4,max-autotune-no-cudagraphs,taew2_1,7,6,7.066,7.032,3.5417,2258.39,20.16,20.456,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s4_cmax-autotune-no-cudagraphs_kv7_h6_dtaew2_1/clip.mp4,real-compile-retest;lpips-unavailable
2026-08-31T13:07:22+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,1,off,taew2_1,7,6,16.247,16.069,1.4631,764.24,23.025,12.312,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s1_coff_kv7_h6_dtaew2_1/clip.mp4,real-compile-retest;lpips-unavailable
2026-08-31T13:08:14+00:00,/home/ashish/isambard_weights_august26/phase3_rolling/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008/dmd10k_phase3_rolling_recovery_base_from_noaux_parent_gbs16_3008_j6186195/keep/phase1_step0001000.pt,b68d99cd77b9154c,bf16,1,max-autotune-no-cudagraphs,taew2_1,7,6,16.844,16.652,1.3979,739.3,20.144,12.298,,/home/ashish/ARRWM/interactive/bench_out/phase1_step0001000_bf16_s1_cmax-autotune-no-cudagraphs_kv7_h6_dtaew2_1/clip.mp4,real-compile-retest;lpips-unavailable
