ride_idx,ride_id,ride_ts,start_row,end_row,num_rows,path
0,ride_d0b93b_20240521122415,20240521122415,0,68,68,videos/ride_d0b93b_20240521122415_front_camera.mp4
1,ride_33d7c1_20240522012552,20240522012552,68,8096,8028,videos/ride_33d7c1_20240522012552_front_camera.mp4
2,ride_7b0131_20240521071716,20240521071716,8096,11707,3611,videos/ride_7b0131_20240521071716_front_camera.mp4
3,ride_e7808b_20240520101759,20240520101759,11707,13607,1900,videos/ride_e7808b_20240520101759_front_camera.mp4
4,ride_7b0131_20240522025008,20240522025008,13607,15231,1624,videos/ride_7b0131_20240522025008_front_camera.mp4
5,ride_ea1a8e_20240521042959,20240521042959,15231,20930,5699,videos/ride_ea1a8e_20240521042959_front_camera.mp4
6,ride_6e901d_20240522081241,20240522081241,20930,27662,6732,videos/ride_6e901d_20240522081241_front_camera.mp4
7,ride_ea1a8e_20240522013551,20240522013551,27662,28430,768,videos/ride_ea1a8e_20240522013551_front_camera.mp4
8,ride_11b492_20240522035028,20240522035028,28430,35538,7108,videos/ride_11b492_20240522035028_front_camera.mp4
9,ride_d7d93b_20240519065520,20240519065520,35538,37464,1926,videos/ride_d7d93b_20240519065520_front_camera.mp4
10,ride_e7808b_20240520122950,20240520122950,37464,54091,16627,videos/ride_e7808b_20240520122950_front_camera.mp4
11,ride_7b0131_20240520010030,20240520010030,54091,58840,4749,videos/ride_7b0131_20240520010030_front_camera.mp4
12,ride_ea1a8e_20240520030248,20240520030248,58840,61451,2611,videos/ride_ea1a8e_20240520030248_front_camera.mp4
13,ride_b36a50_20240520073332,20240520073332,61451,63329,1878,videos/ride_b36a50_20240520073332_front_camera.mp4
14,ride_7b0131_20240522035627,20240522035627,63329,64534,1205,videos/ride_7b0131_20240522035627_front_camera.mp4
15,ride_5fa87e_20240521122547,20240521122547,64534,64981,447,videos/ride_5fa87e_20240521122547_front_camera.mp4
16,ride_8b391d_20240519011133,20240519011133,64981,68709,3728,videos/ride_8b391d_20240519011133_front_camera.mp4
17,ride_94ff43_20240522101536,20240522101536,68709,69919,1210,videos/ride_94ff43_20240522101536_front_camera.mp4
18,ride_8b391d_20240519083743,20240519083743,69919,72429,2510,videos/ride_8b391d_20240519083743_front_camera.mp4
19,ride_25901d_20240522093915,20240522093915,72429,76065,3636,videos/ride_25901d_20240522093915_front_camera.mp4
20,ride_f6a757_20240522154824,20240522154824,76065,83218,7153,videos/ride_f6a757_20240522154824_front_camera.mp4
21,ride_d0b93b_20240518162908,20240518162908,83218,84031,813,videos/ride_d0b93b_20240518162908_front_camera.mp4
22,ride_df348c_20240518124829,20240518124829,84031,84528,497,videos/ride_df348c_20240518124829_front_camera.mp4
23,ride_5fa87e_20240522173619,20240522173619,84528,85020,492,videos/ride_5fa87e_20240522173619_front_camera.mp4
24,ride_8ac40f_20240522222355,20240522222355,85020,88663,3643,videos/ride_8ac40f_20240522222355_front_camera.mp4
25,ride_1496ed_20240520072423,20240520072423,88663,91780,3117,videos/ride_1496ed_20240520072423_front_camera.mp4
26,ride_7b0131_20240521034834,20240521034834,91780,93065,1285,videos/ride_7b0131_20240521034834_front_camera.mp4
27,ride_1496ed_20240520033534,20240520033534,93065,94678,1613,videos/ride_1496ed_20240520033534_front_camera.mp4
28,ride_d7d93b_20240522075559,20240522075559,94678,98444,3766,videos/ride_d7d93b_20240522075559_front_camera.mp4
29,ride_e3066d_20240520063623,20240520063623,98444,107236,8792,videos/ride_e3066d_20240520063623_front_camera.mp4
30,ride_8b391d_20240519042932,20240519042932,107236,110300,3064,videos/ride_8b391d_20240519042932_front_camera.mp4
31,ride_f6a757_20240522171935,20240522171935,110300,117018,6718,videos/ride_f6a757_20240522171935_front_camera.mp4
32,ride_e3066d_20240520041156,20240520041156,117018,120235,3217,videos/ride_e3066d_20240520041156_front_camera.mp4
33,ride_7b0131_20240520043235,20240520043235,120235,128404,8169,videos/ride_7b0131_20240520043235_front_camera.mp4
34,ride_f6a757_20240522144055,20240522144055,128404,133155,4751,videos/ride_f6a757_20240522144055_front_camera.mp4
35,ride_1496ed_20240520085349,20240520085349,133155,133561,406,videos/ride_1496ed_20240520085349_front_camera.mp4
36,ride_33d7c1_20240522062228,20240522062228,133561,150160,16599,videos/ride_33d7c1_20240522062228_front_camera.mp4
37,ride_8ac40f_20240522233716,20240522233716,150160,154746,4586,videos/ride_8ac40f_20240522233716_front_camera.mp4
38,ride_b36a50_20240519101308,20240519101308,154746,156808,2062,videos/ride_b36a50_20240519101308_front_camera.mp4
39,ride_e7808b_20240520134723,20240520134723,156808,164081,7273,videos/ride_e7808b_20240520134723_front_camera.mp4
40,ride_7b0131_20240519045053,20240519045053,164081,168334,4253,videos/ride_7b0131_20240519045053_front_camera.mp4
41,ride_b36a50_20240520080127,20240520080127,168334,170970,2636,videos/ride_b36a50_20240520080127_front_camera.mp4
42,ride_bed262_20240518092847,20240518092847,170970,171730,760,videos/ride_bed262_20240518092847_front_camera.mp4
43,ride_bed262_20240522080330,20240522080330,171730,181249,9519,videos/ride_bed262_20240522080330_front_camera.mp4
44,ride_b36a50_20240519104021,20240519104021,181249,190919,9670,videos/ride_b36a50_20240519104021_front_camera.mp4
45,ride_d7d93b_20240520055738,20240520055738,190919,191822,903,videos/ride_d7d93b_20240520055738_front_camera.mp4
46,ride_7b0131_20240521005331,20240521005331,191822,193022,1200,videos/ride_7b0131_20240521005331_front_camera.mp4
47,ride_bed262_20240520092432,20240520092432,193022,202415,9393,videos/ride_bed262_20240520092432_front_camera.mp4
48,ride_8ac40f_20240522201436,20240522201436,202415,206306,3891,videos/ride_8ac40f_20240522201436_front_camera.mp4
49,ride_11b492_20240522030035,20240522030035,206306,212931,6625,videos/ride_11b492_20240522030035_front_camera.mp4
50,ride_e3066d_20240520065854,20240520065854,212931,221607,8676,videos/ride_e3066d_20240520065854_front_camera.mp4
51,ride_5b201d_20240523000441,20240523000441,221607,222868,1261,videos/ride_5b201d_20240523000441_front_camera.mp4
52,ride_1083d8_20240521071653,20240521071653,222868,226396,3528,videos/ride_1083d8_20240521071653_front_camera.mp4
53,ride_11b492_20240521051244,20240521051244,226396,229908,3512,videos/ride_11b492_20240521051244_front_camera.mp4
54,ride_25901d_20240521082033,20240521082033,229908,231727,1819,videos/ride_25901d_20240521082033_front_camera.mp4
55,ride_8ac40f_20240522211646,20240522211646,231727,235271,3544,videos/ride_8ac40f_20240522211646_front_camera.mp4
56,ride_8ac40f_20240522205455,20240522205455,235271,237852,2581,videos/ride_8ac40f_20240522205455_front_camera.mp4
57,ride_94ff43_20240520161332,20240520161332,237852,238302,450,videos/ride_94ff43_20240520161332_front_camera.mp4
58,ride_f6a757_20240522201929,20240522201929,238302,246238,7936,videos/ride_f6a757_20240522201929_front_camera.mp4
59,ride_ea1a8e_20240522010532,20240522010532,246238,250771,4533,videos/ride_ea1a8e_20240522010532_front_camera.mp4
60,ride_d7d93b_20240521025811,20240521025811,250771,252719,1948,videos/ride_d7d93b_20240521025811_front_camera.mp4
61,ride_6e901d_20240521085744,20240521085744,252719,258265,5546,videos/ride_6e901d_20240521085744_front_camera.mp4
62,ride_d0b93b_20240518125709,20240518125709,258265,258687,422,videos/ride_d0b93b_20240518125709_front_camera.mp4
63,ride_b36a50_20240519110421,20240519110421,258687,258851,164,videos/ride_b36a50_20240519110421_front_camera.mp4
