file,system,scene,null_vector,source
16node_r00.mp4,16node,0,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r00_static_raw.mp4
16node_r01.mp4,16node,1,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r01_static_raw.mp4
16node_r02.mp4,16node,2,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r02_static_raw.mp4
16node_r03.mp4,16node,3,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r03_static_raw.mp4
16node_r04.mp4,16node,4,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r04_static_raw.mp4
16node_r05.mp4,16node,5,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r05_static_raw.mp4
16node_r06.mp4,16node,6,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r06_static_raw.mp4
16node_r07.mp4,16node,7,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r07_static_raw.mp4
16node_r08.mp4,16node,8,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r08_static_raw.mp4
16node_r09.mp4,16node,9,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r09_static_raw.mp4
16node_r10.mp4,16node,10,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r10_static_raw.mp4
16node_r11.mp4,16node,11,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r11_static_raw.mp4
16node_r12.mp4,16node,12,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r12_static_raw.mp4
16node_r13.mp4,16node,13,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r13_static_raw.mp4
16node_r14.mp4,16node,14,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r14_static_raw.mp4
16node_r15.mp4,16node,15,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r15_static_raw.mp4
16node_r16.mp4,16node,16,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r16_static_raw.mp4
16node_r17.mp4,16node,17,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r17_static_raw.mp4
16node_r18.mp4,16node,18,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r18_static_raw.mp4
16node_r19.mp4,16node,19,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r19_static_raw.mp4
16node_r20.mp4,16node,20,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r20_static_raw.mp4
16node_r21.mp4,16node,21,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r21_static_raw.mp4
16node_r22.mp4,16node,22,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r22_static_raw.mp4
16node_r23.mp4,16node,23,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r23_static_raw.mp4
16node_r24.mp4,16node,24,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r24_static_raw.mp4
16node_r25.mp4,16node,25,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r25_static_raw.mp4
16node_r26.mp4,16node,26,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r26_static_raw.mp4
16node_r27.mp4,16node,27,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r27_static_raw.mp4
16node_r28.mp4,16node,28,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r28_static_raw.mp4
16node_r29.mp4,16node,29,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r29_static_raw.mp4
16node_r30.mp4,16node,30,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r30_static_raw.mp4
16node_r31.mp4,16node,31,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/16node/control_test/step05000_r31_static_raw.mp4
4node_r00.mp4,4node,0,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r00_static_raw.mp4
4node_r01.mp4,4node,1,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r01_static_raw.mp4
4node_r02.mp4,4node,2,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r02_static_raw.mp4
4node_r03.mp4,4node,3,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r03_static_raw.mp4
4node_r04.mp4,4node,4,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r04_static_raw.mp4
4node_r05.mp4,4node,5,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r05_static_raw.mp4
4node_r06.mp4,4node,6,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r06_static_raw.mp4
4node_r07.mp4,4node,7,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r07_static_raw.mp4
4node_r08.mp4,4node,8,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r08_static_raw.mp4
4node_r09.mp4,4node,9,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r09_static_raw.mp4
4node_r10.mp4,4node,10,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r10_static_raw.mp4
4node_r11.mp4,4node,11,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r11_static_raw.mp4
4node_r12.mp4,4node,12,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r12_static_raw.mp4
4node_r13.mp4,4node,13,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r13_static_raw.mp4
4node_r14.mp4,4node,14,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r14_static_raw.mp4
4node_r15.mp4,4node,15,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r15_static_raw.mp4
4node_r16.mp4,4node,16,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r16_static_raw.mp4
4node_r17.mp4,4node,17,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r17_static_raw.mp4
4node_r18.mp4,4node,18,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r18_static_raw.mp4
4node_r19.mp4,4node,19,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r19_static_raw.mp4
4node_r20.mp4,4node,20,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r20_static_raw.mp4
4node_r21.mp4,4node,21,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r21_static_raw.mp4
4node_r22.mp4,4node,22,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r22_static_raw.mp4
4node_r23.mp4,4node,23,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r23_static_raw.mp4
4node_r24.mp4,4node,24,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r24_static_raw.mp4
4node_r25.mp4,4node,25,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r25_static_raw.mp4
4node_r26.mp4,4node,26,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r26_static_raw.mp4
4node_r27.mp4,4node,27,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r27_static_raw.mp4
4node_r28.mp4,4node,28,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r28_static_raw.mp4
4node_r29.mp4,4node,29,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r29_static_raw.mp4
4node_r30.mp4,4node,30,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r30_static_raw.mp4
4node_r31.mp4,4node,31,throttle=-0.0234 steer=-0.0013,logs/eval_final/B_Astarts_nullinv/4node/control_test/step05000_r31_static_raw.mp4
