linear,angular,rpm_1,rpm_2,rpm_3,rpm_4,timestamp
0,0,0,0,0,0,1705304049.23
0,0,0,0,0,0,1705304049.31
0,0,0,0,0,0,1705304049.39
0,0,0,0,0,0,1705304049.51
0,0,0,0,0,0,1705304049.62
0,0,0,0,0,0,1705304049.72
0,0,0,0,0,0,1705304990.86
0,0,0,0,0,0,1705304990.96
0,0,0,0,0,0,1705304991.09
0,0,0,0,0,0,1705304991.16
0,0,0,0,0,0,1705304991.27
0,0,0,0,0,0,1705304991.37
0,0,0,0,0,0,1705304991.47
0,0,0,0,0,0,1705304991.58
0,0,0,0,0,0,1705304991.69
0,0,0,0,0,0,1705304991.79
0,0,0,0,0,0,1705304991.89
0,0,0,0,0,0,1705304991.99
0,0,0,0,0,0,1705304992.11
0,0,0,0,0,0,1705304992.2
0,0,0,0,0,0,1705304992.3
0,0,0,0,0,0,1705304992.41
0,0,0,0,0,0,1705304992.5
0,0,0,0,0,0,1705304992.6
0,0,0,0,0,0,1705304992.71
0,0,0,0,0,0,1705304992.81
0,0,0,0,0,0,1705304992.91
0,0,0,0,0,0,1705304993.01
0,0,0,0,0,0,1705304993.12
0,0,0,0,0,0,1705304993.21
0,0,0,0,0,0,1705304993.31
0,0,0,0,0,0,1705304993.42
0,0,0,0,0,0,1705304993.52
0,0,0,0,0,0,1705304993.63
0,0,0,0,0,0,1705304993.74
0,0,0,0,0,0,1705304993.83
0,0,0,0,0,0,1705304993.94
0,0,0,0,0,0,1705304994.06
0,0,0,0,0,0,1705304994.15
0,0,0,0,0,0,1705304994.25
0,0,0,0,0,0,1705304994.36
0,0,0,0,0,0,1705304994.46
0,0,0,0,0,0,1705304994.56
0,0,0,0,0,0,1705304994.66
0,0,0,0,0,0,1705304994.77
0,0,0,0,0,0,1705304994.82
0,0,0,0,0,0,1705304994.87
0,0,0,0,0,0,1705304994.97
0,0,0,0,0,0,1705304995.08
0,0,0,0,0,0,1705304995.17
0,0,0,0,0,0,1705304995.27
0,0,0,0,0,0,1705304995.37
0,0,0,0,0,0,1705304995.48
0,0,0,0,0,0,1705304995.58
0,0,0,0,0,0,1705304995.69
0,0,0,0,0,0,1705304995.78
0,0,0,0,0,0,1705304995.89
0,0,0,0,0,0,1705304995.99
0,0,0,0,0,0,1705304996.11
0,0,0,0,0,0,1705304996.19
0,0,0,0,0,0,1705304996.3
0,0,0,0,0,0,1705304996.4
0,0,0,0,0,0,1705304996.5
0,0,0,0,0,0,1705304996.61
0,0,0,0,0,0,1705304996.71
0,0,0,0,0,0,1705304996.81
0,0,0,0,0,0,1705304996.91
0,0,0,0,0,0,1705304997.01
0,0,0,0,0,0,1705304997.12
0,0,0,0,0,0,1705304997.22
0,0,0,0,0,0,1705304997.31
0,0,0,0,0,0,1705304997.41
0,0,0,0,0,0,1705304997.52
0,0,0,0,0,0,1705304997.62
0,0,0,0,0,0,1705304997.72
0,0,0,0,0,0,1705304997.83
0,0,0,0,0,0,1705304997.93
0,0,0,0,0,0,1705304998.03
0,0,0,0,0,0,1705304998.13
0,0,0,0,0,0,1705304998.23
0,0,0,0,0,0,1705304998.33
0,0,0,0,0,0,1705304998.43
0,0,0,0,0,0,1705304998.54
0,0,0,0,0,0,1705304998.65
0,0,0,0,0,0,1705304998.75
0,0,0,0,0,0,1705304998.84
0,0,0,0,0,0,1705304998.96
0,0,0,0,0,0,1705304999.05
0,0,0,0,0,0,1705304999.15
0,0,0,0,0,0,1705304999.27
0,0,0,0,0,0,1705304999.36
0,0,0,0,0,0,1705304999.46
0,0,0,0,0,0,1705304999.57
0,0,0,0,0,0,1705304999.67
0,0,0,0,0,0,1705304999.77
0,0,0,0,0,0,1705304999.87
0.32,0,0,0,0,0,1705304999.97
0.7,0,0,0,0,0,1705305000.07
0.7,0,0,0,0,0,1705305000.18
0.7,0,9,9,7,7,1705305000.35
0.7,0,9,9,7,7,1705305000.45
0.7,0,9,9,7,7,1705305000.55
0.7,0,9,9,7,7,1705305000.66
0,0,9,9,7,7,1705305000.78
0,0,9,9,7,7,1705305000.87
0,0,9,9,7,7,1705305000.96
-0.7,0,9,9,7,7,1705305001.07
